# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
"626 ","Gerch, Lucas","$26,306 ","$24,663 ","$1,643","$103,369"
"627 ","Hussey, Giles","$26,275 ","$20,291 ","$5,984","$55,895"
"628 ","Sultanov, Khumoyun","$26,240 ","$21,485 ","$4,755","$121,609"
"629 ","Paz, Juan Pablo","$26,230 ","$16,301 ","$9,929","$183,228"
"630 ","Cilic, Marin","$26,138 ","$26,138 ",$0,"$31,207,381"
"631 ","Chazal, Maxime","$26,035 ","$24,409 ","$1,626","$189,121"
"632 ","Gaubas, Vilius","$25,947 ","$24,232 ","$1,715","$35,201"
"633 ","Margaroli, Luca","$25,926 ","$516 ","$25,410","$216,156"
"634T ","Klier Junior, Gilbert","$25,869 ","$22,758 ","$3,111","$77,033"
"634T ","Monzon, Ignacio","$25,869 ","$17,588 ","$8,281","$83,152"
"636 ","Matuszewski, Piotr","$25,824 ","$1,027 ","$24,797","$70,454"
"637 ","Ho, Ray","$25,813 ","$9,396 ","$16,417","$64,467"
"638 ","Langmo, Christian","$25,681 ","$23,737 ","$1,944","$78,149"
"639 ","Vatutin, Alexey","$25,620 ","$24,044 ","$1,576","$583,236"
"640 ","Bergevi, Filip","$25,497 ","$1,220 ","$24,277","$93,544"
"641 ","Bailly, Gilles Arnaud","$25,436 ","$25,126 ",$310,"$34,992"
"642 ","Vale, Duarte","$25,392 ","$19,263 ","$6,129","$55,550"
"643 ","Benchetrit, Elliot","$25,383 ","$21,769 ","$3,614","$566,840"
"644 ","Cretu, Cezar","$25,379 ","$24,217 ","$1,162","$69,900"
"645 ","Perez, Alfredo","$25,256 ","$13,020 ","$12,236","$61,734"
"646 ","Wang, Aoran","$25,119 ","$7,096 ","$18,023","$66,800"
"647 ","Rosenkranz, Mats","$25,063 ","$23,090 ","$1,973","$120,701"
"648 ","Sharipov, Marat","$25,022 ","$22,417 ","$2,605","$40,179"
"649 ","Piraino, Gabriele","$24,943 ","$20,409 ","$4,534","$43,425"
"650 ","Pham, Derek","$24,798 ","$24,456 ",$342,"$28,148"
"651 ","Handel, Tim","$24,784 ","$23,669 ","$1,115","$53,934"
"652 ","Blanch, Ulises","$24,582 ","$22,410 ","$2,172","$341,566"
"653 ","Colson, Tibo","$24,563 ","$21,056 ","$3,507","$37,172"
"654 ","Fancutt, Thomas","$24,539 ","$16,748 ","$7,791","$126,402"
"655 ","Vallejo, Adolfo Daniel","$24,485 ","$19,881 ","$4,604","$34,492"
"656 ","Kirchheimer, Strong","$24,476 ","$23,290 ","$1,186","$99,000"
"657 ","Campana Lee, Gerard","$24,383 ","$24,383 ",$0,"$24,797"
"658 ","Damas, Miguel","$24,269 ","$21,663 ","$2,606","$46,962"
"659 ","Bittoun Kouzmine, Constantin","$24,214 ","$16,304 ","$7,910","$73,042"
"660 ","Popko, Dmitry","$24,191 ","$21,964 ","$2,227","$606,304"
"Page 15 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"661 ","Feldbausch, Kilian","$24,111 ","$22,228 ","$1,883","$29,382"
"662 ","Svajda, Trevor","$23,912 ","$23,672 ",$240,"$24,020"
"663 ","Cervantes, Inigo","$23,849 ","$1,789 ","$22,060","$1,116,806"
"664 ","Pichler, David","$23,812 ","$14,495 ","$9,317","$154,095"
"665 ","Huertas del Pino, Conner","$23,807 ","$9,970 ","$13,837","$78,209"
"666 ","Schnaitter, Jakob","$23,768 ","$11,058 ","$12,710","$30,105"
"667 ","Clark, Ezekiel","$23,662 ","$14,996 ","$8,666","$74,132"
"668 ","Gill, Felix","$23,605 ","$22,655 ",$950,"$103,255"
"669 ","Oliel, Yshai","$23,489 ","$21,491 ","$1,998","$123,356"
"670 ","Gautier, Alexis","$23,462 ","$23,180 ",$282,"$85,454"
"671 ","Cozbinov, Alexandr","$23,294 ","$21,062 ","$2,232","$100,703"
"672 ","Dellavedova, Matthew","$23,258 ","$22,844 ",$414,"$54,179"
"673 ","Walkow, Szymon","$23,110 ","$695 ","$22,415","$272,557"
"674 ","Ponwith, Nathan","$22,998 ","$20,237 ","$2,761","$59,062"
"675 ","Boulais, Justin","$22,984 ","$19,058 ","$3,926","$41,881"
"676 ","Picchione, Andrea","$22,912 ","$17,564 ","$5,348","$50,533"
"677 ","Buse, Ignacio","$22,828 ","$18,287 ","$4,541","$31,746"
"678 ","Prihodko, Oleg","$22,797 ","$10,474 ","$12,323","$111,297"
"679 ","Gulin, Svyatoslav","$22,714 ","$18,205 ","$4,509","$31,463"
"680 ","Trotter, James","$22,676 ","$17,805 ","$4,871","$38,619"
"681 ","Knaff, Alex","$22,556 ","$17,454 ","$5,102","$46,623"
"682 ","Nijboer, Ryan","$22,474 ","$18,879 ","$3,595","$95,693"
"683 ","Pokorny, Lukas","$22,431 ","$16,708 ","$5,723","$45,620"
"684 ","Barton, Hynek","$22,389 ","$17,899 ","$4,490","$27,741"
"685 ","Milev, Yanaki","$22,372 ","$17,293 ","$5,079","$30,515"
"686 ","Kivattsev, Kirill","$22,338 ","$19,638 ","$2,700","$76,743"
"687 ","Gima, Sebastian","$22,166 ","$21,036 ","$1,130","$49,242"
"688 ","Ochi, Makoto","$22,032 ","$18,626 ","$3,406","$125,797"
"689 ","Barnat, Jiri","$22,006 ","$13,777 ","$8,229","$38,258"
"690 ","Sitak, Artem","$21,897 ","$0 ","$21,897","$1,194,577"
"691 ","Boitan, Gabi Adrian","$21,860 ","$18,776 ","$3,084","$40,289"
"692 ","Lopez Morillo, Imanol","$21,696 ","$16,917 ","$4,779","$65,138"
"693 ","Lawson, Alex","$21,651 ","$1,122 ","$20,529","$182,256"
"694 ","Matsuda, Ryuki","$21,583 ","$14,331 ","$7,252","$31,520"
"695 ","Sharan, Divij","$21,571 ","$0 ","$21,571","$944,431"
"696 ","Stevenson, Kelsey","$21,413 ","$881 ","$20,532","$97,093"
"697 ","Dev, S D Prajwal","$21,261 ","$14,623 ","$6,638","$51,678"
"698 ","Matusevich, Anton","$21,193 ","$17,923 ","$3,270","$121,608"
"699 ","Pannu, Kiranpal","$21,186 ","$21,096 ",$90,"$38,902"
"700 ","Smith, Keegan","$21,175 ","$17,498 ","$3,677","$96,108"
"701 ","Negritu, Christoph","$21,148 ","$11,329 ","$9,819","$94,232"
"702 ","Catarina, Lucas","$21,122 ","$21,122 ",$0,"$215,671"
"703 ","De Schepper, Kenny","$21,078 ","$18,990 ","$2,088","$1,687,420"
"704 ","Xiao, Linang","$20,964 ","$17,145 ","$3,819","$24,314"
"Page 16 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"705 ","Karlovskiy, Evgeny","$20,905 ","$15,475 ","$5,430","$383,001"
"706 ","Thomson, Connor","$20,864 ","$1,555 ","$19,309","$21,899"
"707 ","Forejtek, Jonas","$20,815 ","$18,578 ","$2,237","$152,839"
"708 ","Brown, Dustin","$20,762 ","$0 ","$20,762","$3,091,779"
"709 ","Moller, Elmer","$20,698 ","$19,549 ","$1,149","$30,047"
"710 ","Sousa, Pedro","$20,685 ","$19,418 ","$1,267","$1,118,975"
"711 ","Krumich, Martin","$20,643 ","$20,368 ",$275,"$52,437"
"712 ","Carou, Ignacio","$20,622 ","$8,925 ","$11,697","$67,023"
"713 ","Tabacco, Fausto","$20,460 ","$17,980 ","$2,480","$38,771"
"714 ","Gadamauri, Buvaysar","$20,418 ","$16,054 ","$4,364","$38,834"
"715 ","Pereira, Tiago","$20,404 ","$13,171 ","$7,233","$23,122"
"716 ","Echeverria, John","$20,361 ","$14,478 ","$5,883","$44,146"
"717 ","Bicknell, Blaise","$20,254 ","$19,798 ",$456,"$32,749"
"718 ","Iannaccone, Federico","$20,236 ","$18,428 ","$1,808","$55,166"
"719 ","Coulibaly, Eliakim","$20,219 ","$19,269 ",$950,"$48,359"
"720 ","Moundir, Adam","$20,198 ","$14,913 ","$5,285","$61,158"
"721 ","Lopez Montagud, Carlos","$20,174 ","$19,648 ",$526,"$79,234"
"722 ","Leite, Wilson","$20,130 ","$17,003 ","$3,127","$182,919"
"723 ","Nesterov, Petr","$20,095 ","$13,761 ","$6,334","$32,922"
"724 ","Merida, Daniel","$20,056 ","$19,644 ",$412,"$47,351"
"725 ","Lee, Jea Moon","$20,046 ","$15,233 ","$4,813","$52,721"
"726 ","Johns, Garrett","$20,020 ","$15,586 ","$4,434","$34,908"
"727 ","Ambrogi, Luciano Emanuel","$19,990 ","$16,699 ","$3,291","$27,834"
"728 ","Denolly, Corentin","$19,959 ","$14,218 ","$5,741","$201,350"
"729 ","Veldheer, Mick","$19,949 ","$3,004 ","$16,945","$84,330"
"730 ","Takahashi, Yusuke","$19,944 ","$19,550 ",$394,"$159,711"
"731 ","Mikrut, Luka","$19,783 ","$13,537 ","$6,246","$26,170"
"732 ","Jacq, Gregoire","$19,729 ","$260 ","$19,469","$141,761"
"733 ","Descotte, Matias Franco","$19,657 ","$16,285 ","$3,372","$150,925"
"734 ","Al Allaf, Kareem","$19,617 ","$11,536 ","$8,081","$35,082"
"735 ","Rodriguez, Lorenzo Joaquin","$19,582 ","$15,211 ","$4,371","$30,565"
"736 ","Zanellato, Nicolas","$19,577 ","$17,574 ","$2,003","$34,313"
"737 ","Aguilar, Juan Carlos","$19,392 ","$9,569 ","$9,823","$44,977"
"738 ","Farjat, Tomas","$19,372 ","$13,503 ","$5,869","$49,255"
"739 ","Seggerman, Ryan","$19,277 ","$9,079 ","$10,198","$21,396"
"740 ","Ayeni, Alafia","$19,223 ","$16,577 ","$2,646","$69,531"
"741 ","Cid Subervi, Roberto","$19,207 ","$15,727 ","$3,480","$258,038"
"742 ","Compagnucci, Tommaso","$19,192 ","$14,519 ","$4,673","$35,597"
"743 ","Jones, Ben","$19,131 ","$7,935 ","$11,196","$44,373"
"744 ","Ichikawa, Taisei","$19,115 ","$10,822 ","$8,293","$40,469"
"745 ","Ouakaa, Aziz","$19,094 ","$11,801 ","$7,293","$67,503"
"746 ","Tomescu, Dan Alexandru","$19,089 ","$12,712 ","$6,377","$51,768"
"747 ","Sigouin, Benjamin","$19,058 ","$2,146 ","$16,912","$67,059"
"748 ","Polansky, Peter","$19,040 ","$11,315 ","$7,725","$1,748,807"
"Page 17 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"749 ","Braynin, Aleksandr","$19,029 ","$15,861 ","$3,168","$29,025"
"750 ","Alcala Gurri, Max","$18,990 ","$16,009 ","$2,981","$47,536"
"751 ","Naw, Hazem","$18,940 ","$17,307 ","$1,633","$34,162"
"752 ","Mochizuki, Yuki","$18,849 ","$16,449 ","$2,400","$70,490"
"753 ","Klok, Denis","$18,831 ","$14,768 ","$4,063","$71,410"
"754 ","Mott, Blake","$18,817 ","$17,781 ","$1,036","$217,693"
"755 ","Zink, Tyler","$18,725 ","$2,515 ","$16,210","$44,951"
"756 ","Jecan, Alexandru","$18,697 ","$3,260 ","$15,437","$104,276"
"757 ","Domingues, Joao","$18,607 ","$14,554 ","$4,053","$520,980"
"758 ","Stebe, Cedrik-Marcel","$18,595 ","$18,595 ",$0,"$1,576,651"
"759 ","Potenza, Luca","$18,593 ","$13,984 ","$4,609","$61,687"
"760 ","Delaney, Jake","$18,591 ","$15,775 ","$2,816","$46,812"
"761 ","Soriano Barrera, Adria","$18,487 ","$14,535 ","$3,952","$41,922"
"762 ","Gonzales, Ruben","$18,387 ","$0 ","$18,387","$160,745"
"763 ","Bielinskyi, Viacheslav","$18,375 ","$14,220 ","$4,155","$30,988"
"764 ","Otegui, Juan Bautista","$18,287 ","$12,155 ","$6,132","$65,607"
"765 ","Perez Contri, Sergi","$18,221 ","$15,690 ","$2,531","$57,202"
"766 ","Bollipalli, Rithvik Choudary","$18,197 ","$0 ","$18,197","$23,600"
"767 ","Whitehouse, Mark","$18,170 ","$9,809 ","$8,361","$94,917"
"768 ","Arnaboldi, Andrea","$18,092 ","$14,336 ","$3,756","$1,014,699"
"769 ","Midon, Lautaro","$18,030 ","$15,903 ","$2,127","$22,557"
"770 ","Libietis, Mikelis","$17,988 ","$0 ","$17,988","$74,034"
"771 ","Huang, Tsung-Hao","$17,975 ","$11,594 ","$6,381","$46,978"
"772 ","Roncadelli, Franco","$17,974 ","$13,574 ","$4,400","$42,181"
"773 ","Dodig, Matej","$17,947 ","$15,316 ","$2,631","$17,947"
"774 ","Donski, Alexander","$17,944 ","$8,023 ","$9,921","$117,611"
"775 ","Little, Daniel","$17,925 ","$13,649 ","$4,276","$39,436"
"776 ","Panta, Jorge","$17,862 ","$12,018 ","$5,844","$107,458"
"777 ","Leshem, Edan","$17,838 ","$14,203 ","$3,635","$191,324"
"778 ","Dzhavakian, Yurii","$17,830 ","$15,986 ","$1,844","$46,920"
"779 ","Lomakin, Grigoriy","$17,825 ","$8,975 ","$8,850","$94,250"
"780 ","Artnak, Bor","$17,768 ","$16,385 ","$1,383","$25,888"
"781 ","Aboian, Leonardo","$17,756 ","$11,337 ","$6,419","$60,922"
"782 ","Blanch, Dali","$17,668 ","$13,998 ","$3,670","$34,989"
"783 ","Schell, Niklas","$17,473 ","$7,806 ","$9,667","$53,702"
"784 ","Castelnuovo, Luca","$17,438 ","$10,630 ","$6,808","$75,251"
"785 ","Butvilas, Edas","$17,379 ","$15,053 ","$2,326","$20,923"
"786 ","Taylor, Jason","$17,370 ","$589 ","$16,781","$49,781"
"787 ","Raja, Purav","$17,305 ","$0 ","$17,305","$598,677"
"788 ","Kym, Jerome","$17,271 ","$15,769 ","$1,502","$55,995"
"789 ","Fomin, Sergey","$17,254 ","$12,616 ","$4,638","$75,847"
"790 ","Gentzsch, Tom","$17,252 ","$14,691 ","$2,561","$26,096"
"791 ","Taylor, Adam","$17,243 ","$1,037 ","$16,206","$46,105"
"792 ","Jong, Sander","$17,196 ","$12,120 ","$5,076","$23,160"
"Page 18 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"793 ","Oetzbach, Adrian","$17,137 ","$13,689 ","$3,448","$33,316"
"794 ","Shin, Sanhui","$17,102 ","$15,032 ","$2,070","$31,070"
"795 ","Pow, Luca","$17,096 ","$16,826 ",$270,"$32,779"
"796 ","Schnur, Brayden","$17,047 ","$16,775 ",$272,"$891,175"
"797 ","Markes, Colin","$17,041 ","$11,466 ","$5,575","$36,864"
"798 ","Ursu, Vadym","$17,018 ","$15,187 ","$1,831","$57,839"
"799 ","Popovic, Stefan","$16,907 ","$14,782 ","$2,125","$29,348"
"800 ","Bouquier, Arthur","$16,878 ","$10,317 ","$6,561","$53,582"
"801 ","Nicod, Jakub","$16,807 ","$13,242 ","$3,565","$19,107"
"802 ","Paris, Tom","$16,804 ","$15,872 ",$932,"$17,218"
"803 ","Heller, Peter","$16,641 ","$12,963 ","$3,678","$162,423"
"804 ","Fratangelo, Bjorn","$16,485 ","$16,485 ",$0,"$1,614,944"
"805 ","Kravchenko, Georgii","$16,480 ","$13,660 ","$2,820","$73,350"
"806 ","Skugor, Franko","$16,352 ","$0 ","$16,352","$1,698,783"
"807 ","Begemann, Andre","$16,331 ","$0 ","$16,331","$904,847"
"808 ","Walkin, Brandon","$16,231 ","$8,421 ","$7,810","$59,776"
"809 ","Willis, Marcus","$16,217 ","$0 ","$16,217","$240,429"
"810 ","Voisin, Emilien","$16,206 ","$13,429 ","$2,777","$31,691"
"811 ","Beauge, Maxence","$16,203 ","$12,370 ","$3,833","$45,677"
"812 ","Pieczkowski, Olaf","$16,150 ","$13,684 ","$2,466","$24,278"
"813 ","Sheehy, Joshua","$16,118 ","$11,907 ","$4,211","$26,006"
"814 ","Pennaforti, Gabriele","$16,016 ","$14,841 ","$1,175","$22,819"
"815 ","Barreto Sanchez, Diego Augusto","$15,888 ","$14,242 ","$1,646","$35,171"
"816 ","Tabacco, Giorgio","$15,814 ","$12,593 ","$3,221","$32,557"
"817 ","Philippov, Evgeny","$15,794 ","$12,754 ","$3,040","$27,911"
"818 ","Duncan, Scott","$15,773 ","$0 ","$15,773","$38,144"
"819 ","Kelly, Dayne","$15,765 ","$12,884 ","$2,881","$227,048"
"820 ","Lilov, Victor","$15,761 ","$14,277 ","$1,484","$35,714"
"821 ","Bellucci, Thomaz","$15,710 ","$15,710 ",$0,"$5,384,637"
"822 ","Zakharov, Alexey","$15,678 ","$15,678 ",$0,"$54,314"
"823 ","Glinka, Daniil","$15,652 ","$14,718 ",$934,"$41,996"
"824 ","Jahn, Jeremy","$15,581 ","$13,575 ","$2,006","$179,180"
"825 ","Sumizawa, Daisuke","$15,552 ","$11,332 ","$4,220","$39,482"
"826 ","Kiger, Mac","$15,508 ","$3,948 ","$11,560","$21,219"
"827 ","Martin, Dan","$15,481 ","$14,485 ",$996,"$19,443"
"828 ","Kimhi, Orel","$15,423 ","$13,453 ","$1,970","$25,918"
"829 ","Raynel, Amaury","$15,419 ","$13,397 ","$2,022","$25,253"
"830 ","Reymond, Arthur","$15,396 ","$8,966 ","$6,430","$69,661"
"831 ","Kalovelonis, Markos","$15,366 ","$3,804 ","$11,562","$156,008"
"832 ","Montes-De La Torre, Inaki","$15,365 ","$13,268 ","$2,097","$34,430"
"833 ","Dancu, Vlad Andrei","$15,354 ","$15,098 ",$256,"$39,075"
"834 ","Agafonov, Egor","$15,342 ","$10,189 ","$5,153","$24,158"
"835 ","Wang, Xiaofei","$15,310 ","$8,706 ","$6,604","$24,288"
"836 ","Araujo, Pedro","$15,244 ","$11,159 ","$4,085","$48,589"
"Page 19 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"837 ","Sandkaulen, Tim","$15,224 ","$690 ","$14,534","$31,730"
"838 ","Paty, Daniel","$15,191 ","$9,969 ","$5,222","$23,037"
"839 ","Prechtel, Sebastian","$15,161 ","$13,125 ","$2,036","$63,787"
"840 ","Pawelski, Martyn","$15,159 ","$14,705 ",$454,"$22,868"
"841 ","Bouzige, Moerani","$15,106 ","$12,662 ","$2,444","$34,825"
"842 ","King, Darian","$15,095 ","$14,311 ",$784,"$662,491"
"843 ","Shiraishi, Hikaru","$15,093 ","$12,614 ","$2,479","$18,620"
"844 ","Moraing, Mats","$15,025 ","$13,507 ","$1,518","$609,027"
"845 ","Gimenez, Igor","$14,829 ","$9,610 ","$5,219","$26,375"
"846 ","Vankan, Marlon","$14,759 ","$11,808 ","$2,951","$27,805"
"847 ","Tokuda, Renta","$14,741 ","$14,329 ",$412,"$106,941"
"848 ","Karol, Milos","$14,737 ","$8,378 ","$6,359","$32,582"
"849 ","Angele, Jaimee Floyd","$14,712 ","$14,354 ",$358,"$66,437"
"850 ","Gobat, Adrien","$14,648 ","$14,270 ",$378,"$18,068"
"851 ","Pereira, Jose","$14,627 ","$13,225 ","$1,402","$198,937"
"852 ","Snitari, Ilya","$14,620 ","$10,819 ","$3,801","$40,413"
"853 ","Zgirovsky, Alexander","$14,618 ","$9,879 ","$4,739","$31,257"
"854 ","Wiedenmann, Luca","$14,509 ","$12,977 ","$1,532","$17,396"
"855 ","Privara, Peter Benjamin","$14,365 ","$11,495 ","$2,870","$23,166"
"856 ","Setkic, Aldin","$14,306 ","$11,416 ","$2,890","$489,147"
"857 ","Tkemaladze, Zura","$14,231 ","$11,337 ","$2,894","$66,522"
"858 ","Andrade, Andres","$14,194 ","$10,564 ","$3,630","$31,823"
"859 ","Basic, Mirza","$14,168 ","$11,920 ","$2,248","$1,253,793"
"860 ","Papoe, Radu Mihai","$14,164 ","$12,496 ","$1,668","$21,034"
"861 ","Lee, Duckhee","$14,159 ","$12,129 ","$2,030","$433,000"
"862 ","Stewart, Hamish","$14,146 ","$10,831 ","$3,315","$17,193"
"863 ","Jones, Maximus","$14,114 ","$10,970 ","$3,144","$28,494"
"864 ","Uzhylovskyi, Volodoymyr","$14,085 ","$416 ","$13,669","$117,251"
"865 ","Hurrion, Millen","$14,080 ","$10,345 ","$3,735","$23,929"
"866 ","Basavareddy, Nishesh","$13,976 ","$13,914 ",$62,"$15,817"
"867 ","Isomura, Kokoro","$13,883 ","$9,813 ","$4,070","$21,989"
"868 ","Godsick, Nicholas","$13,876 ","$2,060 ","$11,816","$32,768"
"869 ","Paris, Joshua","$13,855 ","$0 ","$13,855","$52,317"
"870 ","Kielan, Szymon","$13,780 ","$7,507 ","$6,273","$30,801"
"871 ","Ingildsen, Johannes","$13,727 ","$6,651 ","$7,076","$36,266"
"872 ","Melzer, Gerald","$13,684 ","$12,648 ","$1,036","$978,627"
"873 ","Juarez, Facundo","$13,681 ","$9,454 ","$4,227","$86,836"
"874 ","Zelenay, Igor","$13,663 ","$389 ","$13,274","$906,156"
"875 ","Ito, Tatsuma","$13,654 ","$12,992 ",$662,"$1,792,085"
"876 ","Elsayed, Amr","$13,628 ","$10,317 ","$3,311","$33,295"
"877 ","Baris, Ozan","$13,615 ","$10,946 ","$2,669","$18,629"
"878 ","Sekiguchi, Shuichi","$13,585 ","$11,602 ","$1,983","$212,127"
"879 ","Bradshaw, Jacob","$13,553 ","$12,729 ",$824,"$17,232"
"880 ","Hazawa, Shinji","$13,454 ","$8,972 ","$4,482","$45,195"
"Page 20 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"881 ","Singh, Digvijaypratap","$13,405 ","$12,649 ",$756,"$28,989"
"882 ","Vylegzhanin, Nikolay","$13,358 ","$13,088 ",$270,"$21,562"
"883 ","Fuele, Matyas","$13,345 ","$12,485 ",$860,"$31,364"
"884 ","Deckers, Alec","$13,311 ","$13,221 ",$90,"$32,156"
"885 ","Andaloro, Fabrizio","$13,301 ","$11,237 ","$2,064","$20,750"
"886 ","Guerrieri, Andrea","$13,274 ","$12,758 ",$516,"$48,492"
"887 ","Beaupain, Simon","$13,265 ","$9,828 ","$3,437","$49,181"
"888 ","Seelig, Kyle","$13,234 ","$12,654 ",$580,"$55,039"
"889 ","Tenti, Fermin","$13,231 ","$8,196 ","$5,035","$69,157"
"890 ","Sorger, Sebastian","$13,197 ","$12,119 ","$1,078","$18,675"
"891 ","Lalami Laaroussi, Younes","$13,145 ","$9,752 ","$3,393","$19,264"
"892 ","Rodriguez, Johan Alexander","$13,129 ","$10,921 ","$2,208","$19,152"
"893 ","Rodesch, Chris","$13,084 ","$11,397 ","$1,687","$20,420"
"894 ","Castagnola, Luca","$13,078 ","$12,358 ",$720,"$21,662"
"895 ","Prado Angelo, Juan Carlos","$13,070 ","$11,458 ","$1,612","$18,749"
"896 ","Tiurnev, Evgenii","$13,069 ","$10,250 ","$2,819","$198,991"
"897 ","Alcantara, Francis Casey","$13,062 ","$460 ","$12,602","$54,463"
"898 ","Rossi, Leonardo","$13,048 ","$10,134 ","$2,914","$17,140"
"899 ","Winter Lopez, Benjamin","$13,027 ","$7,494 ","$5,533","$60,559"
"900 ","Perez Sanz, David","$13,020 ","$9,723 ","$3,297","$193,141"
"901 ","Martinez Martinez, Jorge","$12,994 ","$10,349 ","$2,645","$31,311"
"902 ","Bocchi, Lorenzo","$12,948 ","$11,580 ","$1,368","$51,007"
"903 ","Fitriadi, M Rifki","$12,945 ","$12,315 ",$630,"$18,752"
"904 ","Decamps, Gabriel","$12,938 ","$9,725 ","$3,213","$53,463"
"905 ","Agarwal, Rishab","$12,828 ","$10,388 ","$2,440","$40,387"
"906 ","Brymer, Gage","$12,813 ","$12,759 ",$54,"$73,649"
"907 ","Visker, Niels","$12,768 ","$8,930 ","$3,838","$20,429"
"908 ","Kestelboim, Mariano","$12,743 ","$6,779 ","$5,964","$125,662"
"909 ","Beckley, Alec","$12,728 ","$9,295 ","$3,433","$29,389"
"910 ","Carboni, Lorenzo","$12,700 ","$10,498 ","$2,202","$12,700"
"911 ","Pujol Navarro, Bruno","$12,670 ","$7,423 ","$5,247","$32,087"
"912 ","Legout, Timo","$12,617 ","$12,277 ",$340,"$53,404"
"913 ","Giacomini, Luca","$12,578 ","$10,878 ","$1,700","$53,644"
"914 ","Bax, Florent","$12,563 ","$10,298 ","$2,265","$35,470"
"915 ","Pavlovic, Luka","$12,555 ","$10,730 ","$1,825","$33,840"
"916 ","Ivanov, Simon Anthony","$12,513 ","$9,303 ","$3,210","$39,079"
"917 ","de Bakker, Thiemo","$12,493 ","$9,525 ","$2,968","$1,841,293"
"918 ","Fajta, Peter","$12,378 ","$12,378 ",$0,"$39,342"
"919 ","Reynolds, Finn","$12,360 ","$4,748 ","$7,612","$18,367"
"920 ","Arutiunian, Erik","$12,312 ","$7,692 ","$4,620","$21,245"
"921T ","Gavrielides, Liam","$12,309 ","$11,167 ","$1,142","$16,922"
"921T ","Nedic, Andrej","$12,309 ","$12,147 ",$162,"$15,133"
"923 ","Rawat, Sidharth","$12,286 ","$11,506 ",$780,"$97,305"
"924 ","Vasa, Eero","$12,246 ","$5,531 ","$6,715","$38,076"
"Page 21 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"925 ","Watanabe, Seita","$12,234 ","$4,337 ","$7,897","$35,114"
"926 ","Claverie, Lorenzo","$12,213 ","$10,051 ","$2,162","$24,145"
"927 ","Vives Marcos, Pedro","$12,211 ","$9,596 ","$2,615","$40,749"
"928 ","Haerteis, Johannes","$12,189 ","$8,773 ","$3,416","$119,206"
"929 ","Saitoh, Keisuke","$12,184 ","$7,991 ","$4,193","$27,209"
"930 ","Mridha, Jonathan","$12,167 ","$9,070 ","$3,097","$89,666"
"931 ","Babic, Zvonimir","$12,164 ","$0 ","$12,164","$24,219"
"932 ","Gonzalez Fernandez, Mario","$12,157 ","$11,089 ","$1,068","$22,124"
"933 ","Wallner, Mark","$12,149 ","$3,336 ","$8,813","$13,398"
"934 ","Simakin, Ilia","$12,088 ","$9,233 ","$2,855","$20,137"
"935 ","Brumm, Jacob","$12,081 ","$10,911 ","$1,170","$20,929"
"936 ","Saraiva Dos Santos, Paulo Andre","$12,075 ","$5,937 ","$6,138","$20,097"
"937 ","Bertran, Peter","$12,033 ","$8,498 ","$3,535","$46,283"
"938 ","Samrej, Kasidit","$11,971 ","$10,372 ","$1,599","$29,288"
"939 ","Gray, Alastair","$11,945 ","$11,535 ",$410,"$217,063"
"940 ","Broska, Florian","$11,926 ","$9,078 ","$2,848","$18,132"
"941 ","Rodenas, Pedro","$11,911 ","$10,396 ","$1,515","$18,063"
"942 ","Shin, Woobin","$11,896 ","$7,510 ","$4,386","$15,466"
"943 ","Gutierrez, Oscar Jose","$11,873 ","$11,263 ",$610,"$140,476"
"944 ","Gomez, Juan Sebastian","$11,868 ","$7,187 ","$4,681","$119,960"
"945 ","Gunneswaran, Prajnesh","$11,805 ","$11,020 ",$785,"$959,286"
