# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"1 ","Djokovic, Novak","$15,952,044 ","$15,936,097 ","$15,947","$180,643,353"
"2 ","Alcaraz, Carlos","$15,196,504 ","$15,196,504 ",$0,"$27,026,147"
"3 ","Medvedev, Daniil","$11,548,023 ","$11,548,023 ",$0,"$38,148,405"
"4 ","Sinner, Jannik","$10,456,264 ","$10,405,251 ","$51,013","$17,043,434"
"5 ","Rublev, Andrey","$6,571,890 ","$6,203,527 ","$368,363","$21,555,350"
"6 ","Zverev, Alexander","$5,643,764 ","$5,539,326 ","$104,438","$38,548,820"
"7 ","Tsitsipas, Stefanos","$5,489,110 ","$5,336,859 ","$152,251","$28,620,740"
"8 ","Rune, Holger","$4,946,875 ","$4,924,364 ","$22,511","$7,953,353"
"9 ","Hurkacz, Hubert","$4,803,644 ","$4,705,395 ","$98,249","$13,634,122"
"10 ","Fritz, Taylor","$4,019,217 ","$3,923,569 ","$95,648","$14,081,358"
"11 ","Ruud, Casper","$3,473,277 ","$3,447,195 ","$26,082","$16,526,514"
"12 ","de Minaur, Alex","$3,382,465 ","$3,291,391 ","$91,074","$11,223,939"
"13 ","Dimitrov, Grigor","$3,176,526 ","$3,137,978 ","$38,548","$25,135,270"
"14 ","Khachanov, Karen","$2,985,349 ","$2,668,214 ","$317,135","$15,211,374"
"15 ","Tiafoe, Frances","$2,956,630 ","$2,880,094 ","$76,536","$10,208,806"
"16 ","Paul, Tommy","$2,931,013 ","$2,866,093 ","$64,920","$6,640,984"
"17 ","Shelton, Ben","$2,513,275 ","$2,323,394 ","$189,881","$2,796,667"
"18 ","Cerundolo, Francisco","$2,292,728 ","$2,216,286 ","$76,442","$3,852,638"
"19 ","Musetti, Lorenzo","$2,199,588 ","$2,146,772 ","$52,816","$4,909,753"
"20 ","Davidovich Fokina, Alejandro","$2,191,519 ","$2,152,466 ","$39,053","$5,713,734"
"21 ","Norrie, Cameron","$2,181,535 ","$2,089,231 ","$92,304","$10,132,007"
"22 ","Mannarino, Adrian","$1,967,649 ","$1,886,777 ","$80,872","$11,588,282"
"23 ","Jarry, Nicolas","$1,959,815 ","$1,925,489 ","$34,326","$4,381,788"
"24 ","Struff, Jan-Lennard","$1,739,214 ","$1,701,464 ","$37,750","$9,445,243"
"25 ","Auger-Aliassime, Felix","$1,734,514 ","$1,637,948 ","$96,566","$11,938,111"
"26 ","Korda, Sebastian","$1,727,356 ","$1,686,722 ","$40,634","$4,403,925"
"27 ","Humbert, Ugo","$1,698,273 ","$1,678,103 ","$20,170","$5,060,986"
"28 ","Lehecka, Jiri","$1,690,526 ","$1,603,119 ","$87,407","$2,642,860"
"29 ","McDonald, Mackenzie","$1,656,389 ","$1,468,275 ","$188,114","$5,347,957"
"30 ","Bublik, Alexander","$1,653,590 ","$1,570,556 ","$83,034","$5,895,243"
"31 ","Griekspoor, Tallon","$1,636,208 ","$1,500,660 ","$135,548","$3,198,810"
"32 ","Evans, Daniel","$1,609,462 ","$1,519,445 ","$90,017","$7,893,720"
"33 ","Coric, Borna","$1,574,516 ","$1,569,364 ","$5,152","$11,687,272"
"34 ","Etcheverry, Tomas Martin","$1,544,942 ","$1,438,980 ","$105,962","$2,236,278"
"35 ","Karatsev, Aslan","$1,496,201 ","$1,463,565 ","$32,636","$4,864,351"
"36 ","Eubanks, Christopher","$1,455,211 ","$1,384,763 ","$70,448","$2,620,900"
"37 ","Popyrin, Alexei","$1,355,482 ","$1,300,830 ","$54,652","$3,956,031"
"38 ","Baez, Sebastian","$1,346,450 ","$1,252,472 ","$93,978","$2,593,937"
"39 ","Sonego, Lorenzo","$1,313,408 ","$1,270,396 ","$43,012","$5,631,707"
"40 ","Djere, Laslo","$1,313,279 ","$1,286,152 ","$27,127","$5,234,216"
"41 ","van de Zandschulp, Botic","$1,292,756 ","$1,093,151 ","$199,605","$3,782,609"
"42 ","Nishioka, Yoshihito","$1,269,979 ","$1,224,203 ","$45,776","$5,668,415"
"43 ","Salisbury, Joe","$1,255,887 ","$0 ","$1,255,887","$5,137,244"
"44 ","Ram, Rajeev","$1,254,982 ","$0 ","$1,254,982","$9,322,780"
"Page 1 of 100 ",,Statistics/ Prize Money/ Current,,"Report as of ","Dec 25, 2023"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Dec 25, 2023",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"45 ","Krajicek, Austin","$1,245,247 ","$0 ","$1,245,247","$3,410,444"
"46 ","Fils, Arthur","$1,241,204 ","$1,203,404 ","$37,800","$1,346,555"
"47 ","Wawrinka, Stan","$1,227,892 ","$1,185,643 ","$42,249","$36,558,554"
"48 ","Altmaier, Daniel","$1,215,139 ","$1,192,030 ","$23,109","$2,427,631"
"49 ","Safiullin, Roman","$1,206,740 ","$1,183,000 ","$23,740","$2,058,566"
"50 ","Ebden, Matthew","$1,199,856 ","$0 ","$1,199,856","$5,617,653"
"51 ","Bopanna, Rohan","$1,181,789 ","$0 ","$1,181,789","$6,277,586"
"52 ","Ruusuvuori, Emil","$1,180,531 ","$1,141,161 ","$39,370","$3,323,959"
