# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"64 ","Krawietz, Kevin","$1,103,850 ","$0 ","$1,103,850","$3,924,792"
"65 ","Puetz, Tim","$1,095,320 ","$2,208 ","$1,093,112","$3,046,339"
"66 ","Shang, Juncheng","$1,084,459 ","$1,083,923 ",$536,"$1,592,645"
"67 ","Navone, Mariano","$1,067,355 ","$1,005,889 ","$61,466","$1,271,757"
"68 ","Martinez, Pedro","$1,066,017 ","$960,850 ","$105,167","$4,294,992"
"69 ","Carballes Baena, Roberto","$1,052,652 ","$981,230 ","$71,422","$5,292,000"
"70 ","Rinderknech, Arthur","$1,046,034 ","$1,002,430 ","$43,604","$3,642,150"
"71 ","Shevchenko, Alexander","$1,009,443 ","$963,622 ","$45,821","$1,922,569"
"72 ","Heliovaara, Harri","$987,175 ","$0 ","$987,175","$2,239,927"
"73 ","van de Zandschulp, Botic","$984,484 ","$905,495 ","$78,989","$4,767,094"
"74 ","Goffin, David","$978,344 ","$973,915 ","$4,429","$17,985,621"
"75 ","Muller, Alexandre","$977,989 ","$912,510 ","$65,479","$2,242,637"
"76 ","Patten, Henry","$975,034 ","$0 ","$975,034","$1,147,619"
"77 ","Munar, Jaume","$961,009 ","$904,013 ","$56,996","$4,690,860"
"78 ","Bolelli, Simone","$954,601 ","$0 ","$954,601","$7,240,939"
"79 ","Seyboth Wild, Thiago","$949,358 ","$875,066 ","$74,292","$1,883,548"
"80 ","Ofner, Sebastian","$948,435 ","$878,443 ","$69,992","$2,707,238"
"81 ","Kotov, Pavel","$938,244 ","$897,558 ","$40,686","$1,859,028"
"82 ","Vukic, Aleksandar","$931,455 ","$890,517 ","$40,938","$2,316,281"
"83 ","O'Connell, Christopher","$928,942 ","$913,238 ","$15,704","$3,067,605"
"84 ","Hijikata, Rinky","$928,505 ","$806,579 ","$121,926","$2,352,272"
"85 ","Berrettini, Matteo","$917,656 ","$917,656 ",$0,"$12,464,502"
"86 ","Bopanna, Rohan","$885,251 ","$0 ","$885,251","$7,162,837"
"87 ","Ebden, Matthew","$880,731 ","$0 ","$880,731","$6,498,384"
"88 ","Lajovic, Dusan","$879,168 ","$850,185 ","$28,983","$9,680,509"
"Page 2 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"89 ","Cazaux, Arthur","$870,129 ","$870,129 ",$0,"$1,362,480"
"90 ","Coric, Borna","$870,059 ","$870,059 ",$0,"$12,557,332"
"91 ","Kokkinakis, Thanasi","$858,760 ","$815,852 ","$42,908","$4,423,058"
"92 ","Nishioka, Yoshihito","$841,844 ","$823,181 ","$18,663","$6,510,260"
"93 ","Koepfer, Dominik","$837,755 ","$714,815 ","$122,940","$3,531,381"
"94 ","Altmaier, Daniel","$835,558 ","$813,689 ","$21,869","$3,263,189"
"95 ","Hanfmann, Yannick","$820,856 ","$704,099 ","$116,757","$3,187,303"
"96 ","Eubanks, Christopher","$812,340 ","$732,872 ","$79,468","$3,433,241"
"97 ","Bergs, Zizou","$791,539 ","$773,790 ","$17,749","$1,473,644"
"98 ","Daniel, Taro","$770,133 ","$767,225 ","$2,908","$4,519,969"
"99 ","Evans, Daniel","$750,910 ","$724,212 ","$26,698","$8,644,631"
"100 ","Kovacevic, Aleksandar","$739,160 ","$739,160 ",$0,"$1,342,902"
"101 ","Ruusuvuori, Emil","$724,388 ","$703,219 ","$21,169","$4,048,347"
"102 ","Gaston, Hugo","$720,283 ","$703,597 ","$16,686","$2,782,533"
"103 ","Diaz Acosta, Facundo","$720,136 ","$710,179 ","$9,957","$1,192,981"
"104 ","McDonald, Mackenzie","$708,276 ","$542,653 ","$165,623","$6,056,234"
"105 ","Fognini, Fabio","$700,940 ","$698,100 ","$2,840","$18,831,523"
"106 ","Moutet, Corentin","$698,154 ","$698,154 ",$0,"$3,974,754"
"107 ","Wawrinka, Stan","$691,561 ","$683,581 ","$7,980","$37,250,116"
"108 ","Fucsovics, Marton","$688,304 ","$670,589 ","$17,715","$7,176,394"
"109 ","Nagal, Sumit","$682,354 ","$668,440 ","$13,914","$1,413,907"
"110 ","Djere, Laslo","$646,312 ","$634,279 ","$12,033","$5,880,529"
"111 ","Halys, Quentin","$643,678 ","$616,179 ","$27,499","$3,268,670"
"112 ","Van Assche, Luca","$637,916 ","$634,733 ","$3,183","$1,647,672"
"113 ","Walton, Adam","$633,227 ","$599,313 ","$33,914","$756,912"
"114 ","Coria, Federico","$624,154 ","$585,355 ","$38,799","$3,086,828"
"115 ","Venus, Michael","$617,423 ","$0 ","$617,423","$4,731,316"
"116 ","Monteiro, Thiago","$600,528 ","$561,875 ","$38,653","$3,911,869"
"117 ","Nardi, Luca","$592,338 ","$589,328 ","$3,010","$1,268,337"
"118 ","Diallo, Gabriel","$590,509 ","$587,565 ","$2,944","$871,644"
"119 ","Marterer, Maximilian","$589,665 ","$586,935 ","$2,730","$3,040,212"
"120 ","Skupski, Neal","$570,339 ","$0 ","$570,339","$4,313,823"
"121 ","Comesana, Francisco","$569,396 ","$566,517 ","$2,879","$787,263"
"122 ","Galan, Daniel Elahi","$568,486 ","$563,463 ","$5,023","$2,888,030"
"123 ","Duckworth, James","$564,256 ","$543,657 ","$20,599","$4,054,178"
"124 ","Nishikori, Kei","$547,894 ","$543,994 ","$3,900","$25,650,007"
"125 ","Bu, Yunchaokete","$541,835 ","$528,475 ","$13,360","$691,710"
"126 ","Molteni, Andres","$540,135 ","$0 ","$540,135","$2,576,498"
"127 ","Gasquet, Richard","$533,369 ","$533,369 ",$0,"$21,214,390"
"128 ","Lestienne, Constant","$522,002 ","$508,882 ","$13,120","$2,079,276"
"129T ","Lammons, Nathaniel","$515,165 ","$0 ","$515,165","$1,410,695"
"129T ","Withrow, Jackson","$515,165 ","$0 ","$515,165","$1,541,232"
"131 ","Virtanen, Otto","$502,425 ","$501,164 ","$1,261","$876,096"
"132 ","Gonzalez, Maximo","$499,813 ","$0 ","$499,813","$4,188,828"
"Page 3 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"133 ","Bellucci, Mattia","$499,037 ","$495,055 ","$3,982","$813,820"
"134 ","Dodig, Ivan","$483,067 ","$0 ","$483,067","$10,377,811"
"135 ","Medjedovic, Hamad","$468,617 ","$468,177 ",$440,"$1,398,476"
"136 ","Kwon, Soonwoo","$467,567 ","$441,949 ","$25,618","$3,064,876"
"137 ","Carreno Busta, Pablo","$466,318 ","$427,008 ","$39,310","$15,716,219"
"138 ","Cachin, Pedro","$465,678 ","$434,615 ","$31,063","$2,084,778"
"139 ","Glasspool, Lloyd","$463,566 ","$0 ","$463,566","$1,643,844"
"140 ","de Jong, Jesper","$463,458 ","$459,584 ","$3,874","$910,209"
"141 ","Murray, Jamie","$460,366 ","$0 ","$460,366","$6,893,534"
"142 ","Pavlasek, Adam","$459,118 ","$0 ","$459,118","$1,306,518"
"143 ","Nys, Hugo","$458,702 ","$6,912 ","$451,790","$1,930,386"
"144 ","Murray, Andy","$441,514 ","$404,186 ","$37,328","$64,687,542"
"145 ","Zielinski, Jan","$430,695 ","$0 ","$430,695","$1,437,697"
"146 ","Ram, Rajeev","$428,670 ","$0 ","$428,670","$9,751,451"
"147T ","Gille, Sander","$427,332 ","$0 ","$427,332","$1,667,344"
"147T ","Vliegen, Joran","$427,332 ","$0 ","$427,332","$1,669,374"
"149 ","Grenier, Hugo","$415,525 ","$412,174 ","$3,351","$1,254,745"
"150 ","Atmane, Terence","$411,817 ","$411,817 ",$0,"$619,842"
"151 ","Pouille, Lucas","$410,439 ","$383,886 ","$26,553","$8,690,118"
"152 ","Mayot, Harold","$407,916 ","$396,102 ","$11,814","$835,915"
"153 ","Krajicek, Austin","$404,993 ","$0 ","$404,993","$3,815,438"
"154 ","Salisbury, Joe","$403,443 ","$0 ","$403,443","$5,540,687"
"155 ","Roger-Vasselin, Edouard","$402,603 ","$0 ","$402,603","$8,270,957"
"156 ","Klein, Lukas","$389,019 ","$377,898 ","$11,121","$831,233"
"157 ","Harris, Billy","$387,154 ","$369,016 ","$18,138","$606,017"
"158 ","Bonzi, Benjamin","$382,713 ","$373,440 ","$9,273","$2,925,497"
"159 ","Karatsev, Aslan","$381,813 ","$362,389 ","$19,424","$5,246,165"
"160 ","Peers, John","$372,536 ","$0 ","$372,536","$5,878,658"
"161 ","Barrere, Gregoire","$371,496 ","$343,890 ","$27,606","$2,956,661"
"162 ","Behar, Ariel","$370,395 ","$0 ","$370,395","$1,230,614"
"163 ","Mochizuki, Shintaro","$368,856 ","$366,787 ","$2,069","$786,440"
"164 ","Gonzalez, Santiago","$368,434 ","$0 ","$368,434","$4,263,385"
"165 ","Moreno De Alboran, Nicolas","$366,489 ","$357,696 ","$8,793","$741,973"
