# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"294 ","Dellien, Murkel","$135,058 ","$122,960 ","$12,098","$230,323"
"295 ","Cabral, Francisco","$134,542 ","$0 ","$134,542","$464,664"
"296 ","Zhou, Yi","$134,055 ","$103,393 ","$30,662","$192,224"
"297 ","Hardt, Nick","$132,500 ","$129,685 ","$2,815","$330,672"
"298 ","Royer, Valentin","$129,952 ","$128,395 ","$1,557","$215,901"
"299 ","Couacaud, Enzo","$128,856 ","$124,425 ","$4,431","$1,290,679"
"300 ","Crawford, Oliver","$128,808 ","$113,816 ","$14,992","$264,463"
"301 ","Svrcina, Dalibor","$125,737 ","$121,339 ","$4,398","$554,972"
"302 ","Balaji, N.Sriram","$125,677 ","$0 ","$125,677","$506,260"
"303 ","Kachmazov, Alibek","$125,293 ","$121,314 ","$3,979","$268,360"
"304 ","Hemery, Calvin","$124,844 ","$118,792 ","$6,052","$664,868"
"305 ","Middelkoop, Matwe","$123,745 ","$0 ","$123,745","$2,188,627"
"306 ","Damm, Martin","$122,061 ","$118,558 ","$3,503","$300,319"
"307 ","King, Evan","$121,942 ","$1,230 ","$120,712","$644,308"
"308 ","Basavareddy, Nishesh","$121,460 ","$119,085 ","$2,375","$137,277"
"Page 7 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"309 ","Arends, Sander","$120,969 ","$0 ","$120,969","$522,341"
"310 ","Holt, Brandon","$120,890 ","$119,315 ","$1,575","$593,015"
"311 ","Fery, Arthur","$119,216 ","$99,736 ","$19,480","$333,574"
"312 ","Goransson, Andre","$118,252 ","$0 ","$118,252","$561,433"
"313 ","Tsitsipas, Petros","$116,489 ","$466 ","$116,023","$421,053"
"314 ","Gaubas, Vilius","$116,028 ","$115,598 ",$430,"$151,231"
"315 ","Mmoh, Michael","$115,959 ","$114,154 ","$1,805","$2,188,586"
"316 ","Maestrelli, Francesco","$115,320 ","$107,808 ","$7,512","$353,307"
"317 ","Searle, Henry","$114,411 ","$103,686 ","$10,725","$120,093"
"318 ","Hidalgo, Diego","$114,390 ","$0 ","$114,390","$353,606"
"319 ","Weissborn, Sam","$112,769 ","$0 ","$112,769","$548,754"
"320 ","Arneodo, Romain","$111,958 ","$0 ","$111,958","$717,784"
"321 ","Kubler, Jason","$111,295 ","$92,130 ","$19,165","$2,460,088"
"322 ","Travaglia, Stefano","$111,083 ","$106,859 ","$4,224","$2,433,121"
"323 ","Galarneau, Alexis","$110,530 ","$101,827 ","$8,703","$366,123"
"324 ","Johnson, Luke","$109,121 ","$0 ","$109,121","$242,944"
"325 ","Martin, Fabrice","$107,541 ","$0 ","$107,541","$2,469,325"
"326 ","Rodriguez Taverna, Santiago","$107,192 ","$94,022 ","$13,170","$457,256"
"327 ","Stalder, Reese","$106,166 ","$1,020 ","$105,146","$227,744"
"328 ","Blockx, Alexander","$102,542 ","$100,481 ","$2,061","$140,850"
"329 ","Sachko, Vitaliy","$102,015 ","$89,034 ","$12,981","$402,959"
"330 ","Forbes, Matthew","$101,320 ","$101,284 ",$36,"$101,320"
"331 ","Ficovich, Juan Pablo","$100,821 ","$95,082 ","$5,739","$572,240"
"332 ","Popko, Dmitry","$99,824 ","$92,516 ","$7,308","$706,130"
"333 ","Shimizu, Yuta","$99,550 ","$84,181 ","$15,369","$306,748"
"334 ","Luz, Orlando","$97,878 ","$25,110 ","$72,768","$362,349"
"335 ","Jacq, Gregoire","$97,216 ","$332 ","$96,884","$238,977"
"336 ","Arribage, Theo","$97,051 ","$403 ","$96,648","$178,562"
"337 ","Barranco Cosano, Javier","$95,640 ","$89,201 ","$6,439","$305,266"
"338 ","Seggerman, Ryan","$95,041 ","$25,991 ","$69,050","$116,437"
"339 ","Llamas Ruiz, Pablo","$94,602 ","$93,856 ",$746,"$270,333"
"340 ","Collignon, Raphael","$93,610 ","$90,235 ","$3,375","$200,253"
"341 ","Blancaneaux, Geoffrey","$92,080 ","$75,160 ","$16,920","$803,617"
"342 ","Collarini, Andrea","$90,947 ","$83,145 ","$7,802","$795,177"
"343 ","Cornea, Victor","$89,856 ","$0 ","$89,856","$268,238"
"344 ","Romboli, Fernando","$88,507 ","$1,730 ","$86,777","$462,684"
"345 ","Wu, Tung-Lin","$88,496 ","$84,336 ","$4,160","$551,967"
"346 ","Marie, Jules","$88,490 ","$87,413 ","$1,077","$243,657"
"347 ","Clarke, Jay","$87,392 ","$68,641 ","$18,751","$891,585"
"348 ","Neumayer, Lukas","$87,106 ","$84,247 ","$2,859","$204,677"
"349 ","Molcan, Alex","$86,943 ","$86,943 ",$0,"$2,178,339"
"350 ","Fatic, Nerman","$86,377 ","$84,250 ","$2,127","$308,410"
"351 ","Molchanov, Denys","$85,811 ","$0 ","$85,811","$895,527"
"352 ","Sun, Fajing","$85,099 ","$58,528 ","$26,571","$293,728"
"Page 8 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"353 ","Valkusz, Mate","$85,006 ","$85,006 ",$0,"$271,447"
"354 ","Wu, Yibing","$84,595 ","$84,595 ",$0,"$1,186,130"
"355 ","Marchenko, Illya","$84,051 ","$81,025 ","$3,026","$2,486,101"
"356 ","Ramanathan, Ramkumar","$81,754 ","$54,921 ","$26,833","$1,284,801"
"357 ","Nouza, Petr","$81,490 ","$920 ","$80,570","$190,560"
"358 ","Tabur, Clement","$81,184 ","$78,463 ","$2,721","$224,461"
"359 ","Andreev, Adrian","$80,675 ","$78,404 ","$2,271","$400,768"
"360 ","Daniell, Marcus","$79,960 ","$0 ","$79,960","$1,173,187"
"361 ","Rodriguez, Cristian","$79,386 ","$0 ","$79,386","$327,792"
"362 ","Sekulic, Philip","$79,356 ","$79,081 ",$275,"$212,363"
"363 ","Agamenone, Franco","$78,835 ","$73,552 ","$5,283","$569,836"
"364 ","Blumberg, William","$78,447 ","$0 ","$78,447","$298,101"
"365 ","Oliveira, Gonzalo","$77,379 ","$70,143 ","$7,236","$538,768"
"366 ","Stevens, Bart","$77,212 ","$0 ","$77,212","$262,896"
"367 ","Mayo, Aidan","$76,473 ","$75,998 ",$475,"$163,823"
"368 ","Prashanth, Vijay Sundar","$75,394 ","$0 ","$75,394","$252,746"
"369T ","Masur, Daniel","$74,492 ","$52,254 ","$22,238","$744,898"
"369T ","Peniston, Ryan","$74,492 ","$70,819 ","$3,673","$686,160"
"371 ","Kicker, Nicolas","$73,851 ","$72,316 ","$1,535","$1,158,300"
"372 ","Gakhov, Ivan","$73,233 ","$71,872 ","$1,361","$434,445"
"373 ","Guillen Meza, Alvaro","$72,930 ","$68,206 ","$4,724","$119,488"
"374 ","Soto, Matias","$72,804 ","$43,806 ","$28,998","$124,400"
"375 ","Olivieri, Genaro Alberto","$72,229 ","$66,662 ","$5,567","$493,471"
"376 ","Bollipalli, Rithvik Choudary","$72,148 ","$0 ","$72,148","$95,749"
"377 ","Draxl, Liam","$71,649 ","$46,509 ","$25,140","$162,835"
"378 ","Mejia, Nicolas","$71,163 ","$63,298 ","$7,865","$242,774"
"379 ","Kadhe, Arjun","$70,433 ","$1,005 ","$69,428","$251,558"
"380 ","Trotter, James","$70,405 ","$53,821 ","$16,584","$109,024"
"381 ","Coppejans, Kimmer","$69,802 ","$69,802 ",$0,"$1,188,426"
"382 ","Schwaerzler, Joel","$69,733 ","$62,691 ","$7,042","$80,480"
"383 ","Gojo, Borna","$69,643 ","$69,643 ",$0,"$1,176,323"
"384 ","Taberner, Carlos","$69,175 ","$66,232 ","$2,943","$1,145,142"
"385 ","Eysseric, Jonathan","$68,003 ","$1,970 ","$66,033","$803,947"
"386 ","Holmgren, August","$67,071 ","$60,027 ","$7,044","$125,103"
"387 ","Trhac, Patrik","$66,231 ","$0 ","$66,231","$76,603"
"388 ","Jianu, Filip Cristian","$65,458 ","$60,622 ","$4,836","$199,680"
"389 ","Onclin, Gauthier","$65,438 ","$65,438 ",$0,"$255,744"
"390 ","Vincent Ruggeri, Samuel","$64,533 ","$59,571 ","$4,962","$136,257"
"391 ","Pacheco Mendez, Rodrigo","$64,461 ","$58,926 ","$5,535","$126,351"
"392 ","Tomic, Bernard","$64,220 ","$63,030 ","$1,190","$6,406,025"
"393 ","Ellis, Blake","$63,843 ","$31,932 ","$31,911","$210,263"
"394 ","Moller, Elmer","$63,715 ","$62,875 ",$840,"$93,762"
"395 ","Basilashvili, Nikoloz","$63,183 ","$63,183 ",$0,"$8,808,626"
"396 ","Geerts, Michael","$63,023 ","$49,994 ","$13,029","$340,066"
"Page 9 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"397 ","Vallejo, Adolfo Daniel","$62,689 ","$58,936 ","$3,753","$97,181"
"398 ","Gerasimov, Egor","$62,121 ","$59,420 ","$2,701","$2,086,283"
"399 ","Winter, Edward","$61,738 ","$40,713 ","$21,025","$132,721"
"400 ","Schnaitter, Jakob","$61,659 ","$742 ","$60,917","$91,765"
"401 ","Rehberg, Max Hans","$61,393 ","$61,393 ",$0,"$139,211"
"402 ","Wallner, Mark","$61,319 ","$402 ","$60,917","$74,717"
"403 ","Bai, Yan","$60,976 ","$59,326 ","$1,650","$435,312"
"404 ","Novak, Dennis","$60,848 ","$59,828 ","$1,020","$1,978,248"
"405 ","Cecchinato, Marco","$60,475 ","$59,136 ","$1,339","$5,020,119"
"406 ","Zormann, Marcelo","$60,420 ","$2,010 ","$58,410","$165,248"
"407 ","Alves, Mateus","$60,414 ","$44,896 ","$15,518","$186,978"
"408 ","Buse, Ignacio","$59,827 ","$56,652 ","$3,175","$91,573"
"409 ","Arnaboldi, Federico","$59,666 ","$57,733 ","$1,933","$130,417"
"410 ","Chidekh, Clement","$59,389 ","$53,369 ","$6,020","$113,148"
"411 ","Nedunchezhiyan, Jeevan","$58,300 ","$0 ","$58,300","$501,559"
"412 ","Harrison, Christian","$57,985 ","$325 ","$57,660","$723,830"
"413 ","Chandrasekar, Anirudh","$57,242 ","$412 ","$56,830","$137,679"
"414 ","Sanchez Izquierdo, Nikolas","$57,179 ","$52,016 ","$5,163","$213,374"
"415 ","Te, Rigele","$56,868 ","$35,063 ","$21,805","$192,840"
"416 ","Mena, Facundo","$56,763 ","$47,455 ","$9,308","$544,302"
"417 ","Andrade, Andres","$56,733 ","$44,561 ","$12,172","$88,556"
"418 ","Pospisil, Vasek","$56,015 ","$47,045 ","$8,970","$7,201,749"
"419 ","Bueno, Gonzalo","$55,980 ","$51,166 ","$4,814","$101,580"
"420 ","Dodig, Matej","$55,958 ","$52,921 ","$3,037","$73,905"
"421 ","Kuzmanov, Dimitar","$55,908 ","$55,908 ",$0,"$811,704"
"422 ","Kolar, Zdenek","$55,886 ","$49,467 ","$6,419","$1,038,628"
"423 ","Saville, Luke","$55,532 ","$19,947 ","$35,585","$1,404,114"
"424 ","Martos Gornes, Sergio","$55,438 ","$0 ","$55,438","$221,419"
"425 ","Mager, Gianluca","$54,909 ","$54,634 ",$275,"$1,638,670"
"426 ","Dalla Valle, Enrico","$54,836 ","$51,533 ","$3,303","$165,132"
"427 ","Pinnington Jones, Jack","$54,065 ","$42,848 ","$11,217","$98,535"
"428 ","Added, Dan","$53,928 ","$21,808 ","$32,120","$318,937"
"429 ","Gaio, Federico","$53,717 ","$51,843 ","$1,874","$1,106,735"
"430 ","Lock, Benjamin","$53,565 ","$31,405 ","$22,160","$285,596"
"431 ","Jorda Sanchis, David","$53,099 ","$48,444 ","$4,655","$139,907"
"432 ","Blanch, Darwin","$53,017 ","$52,927 ",$90,"$57,821"
"433 ","Demoliner, Marcelo","$52,936 ","$0 ","$52,936","$1,355,302"
"434 ","van Rijthoven, Tim","$52,762 ","$52,762 ",$0,"$789,723"
"435 ","Bertola, Remy","$52,565 ","$40,522 ","$12,043","$146,930"
"436 ","Tracy, JJ","$52,302 ","$3,196 ","$49,106","$67,725"
"437 ","Rikl, Patrik","$52,290 ","$325 ","$51,965","$118,895"
"438 ","Matuszewski, Piotr","$50,968 ","$0 ","$50,968","$121,423"
"439 ","Noguchi, Rio","$50,892 ","$43,857 ","$7,035","$313,081"
"440 ","Brancaccio, Raul","$50,660 ","$48,336 ","$2,324","$458,453"
"Page 10 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"441 ","Martinez, Luis David","$50,563 ","$0 ","$50,563","$338,801"
"442 ","Olivo, Renzo","$50,528 ","$39,085 ","$11,443","$1,421,775"
"443 ","Pucinelli De Almeida, Matheus","$50,059 ","$45,166 ","$4,893","$276,696"
"444 ","Bertrand, Robin","$50,034 ","$44,723 ","$5,311","$111,872"
"445 ","Debru, Gabriel","$49,997 ","$41,692 ","$8,305","$138,651"
"446 ","Wang, Aoran","$49,996 ","$13,547 ","$36,449","$116,796"
"447 ","Martin Tiffon, Pol","$49,970 ","$49,150 ",$820,"$155,363"
"448 ","Cui, Jie","$49,859 ","$39,979 ","$9,880","$140,661"
"449T ","Kirkov, Vasil","$49,451 ","$0 ","$49,451","$149,630"
"449T ","Willis, Marcus","$49,451 ","$0 ","$49,451","$289,880"
"451 ","Giannessi, Alessandro","$49,277 ","$45,469 ","$3,808","$1,466,504"
"452 ","Romios, Matthew Christopher","$49,023 ","$2,050 ","$46,973","$128,199"
"453 ","Escobedo, Ernesto","$48,495 ","$48,225 ",$270,"$1,585,011"
"454 ","Kuzuhara, Bruno","$48,320 ","$45,300 ","$3,020","$152,979"
"455 ","Millman, John","$47,310 ","$29,595 ","$17,715","$5,519,421"
"456 ","Uchida, Kaichi","$47,292 ","$31,788 ","$15,504","$562,074"
"457 ","Bonadio, Riccardo","$47,170 ","$46,992 ",$178,"$502,185"
"458 ","Cash, Robert","$46,681 ","$0 ","$46,681","$55,109"
"459 ","Pel, David","$46,624 ","$0 ","$46,624","$335,098"
"460 ","Sakamoto, Pedro","$46,423 ","$38,118 ","$8,305","$236,151"
"461 ","Cuevas, Pablo","$45,971 ","$45,971 ",$0,"$9,742,624"
"462 ","Vatutin, Alexey","$45,910 ","$40,920 ","$4,990","$629,148"
"463 ","Elias, Gastao","$45,843 ","$45,397 ",$446,"$1,509,609"
"464 ","Sultanov, Khumoyun","$45,268 ","$41,163 ","$4,105","$166,877"
"465 ","Ursu, Vadym","$44,368 ","$39,996 ","$4,372","$102,207"
"466 ","Poljicak, Mili","$43,907 ","$40,055 ","$3,852","$109,747"
"467 ","Fonio, Giovanni","$43,776 ","$41,520 ","$2,256","$177,972"
"468 ","Dutra da Silva, Daniel","$43,358 ","$31,854 ","$11,504","$363,896"
"469 ","Lokoli, Laurent","$43,334 ","$42,453 ",$881,"$619,233"
"470 ","Paul, Jakub","$43,287 ","$23,573 ","$19,714","$158,942"
"471 ","Van Wyk, Kris","$42,945 ","$37,518 ","$5,427","$86,452"
"472 ","Vrbensky, Michael","$42,644 ","$31,451 ","$11,193","$200,823"
"473 ","Kirkin, Ergi","$42,512 ","$37,600 ","$4,912","$184,004"
"474 ","Habib, Hady","$42,503 ","$35,957 ","$6,546","$134,304"
"475 ","Gill, Felix","$42,451 ","$42,451 ",$0,"$145,706"
"476 ","Krajinovic, Filip","$42,415 ","$42,415 ",$0,"$6,181,367"
"477 ","Kaliyanda Poonacha, Niki","$42,223 ","$7,099 ","$35,124","$119,324"
"478 ","Loffhagen, George","$41,571 ","$41,571 ",$0,"$174,005"
"479 ","Drzewiecki, Karol","$41,365 ","$1,268 ","$40,097","$167,887"
"480 ","Butvilas, Edas","$41,208 ","$39,053 ","$2,155","$62,132"
"481 ","Cretu, Cezar","$41,188 ","$31,488 ","$9,700","$111,089"
"482 ","Fanselow, Sebastian","$40,803 ","$38,110 ","$2,693","$223,042"
"483 ","Picchione, Andrea","$40,641 ","$36,623 ","$4,018","$91,175"
"484 ","Torres, Juan Bautista","$39,825 ","$37,210 ","$2,615","$146,773"
"Page 11 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"485 ","Niklas-Salminen, Patrik","$39,529 ","$0 ","$39,529","$168,055"
"486 ","Giustino, Lorenzo","$38,992 ","$38,289 ",$703,"$934,936"
"487 ","Topo, Marko","$38,982 ","$36,347 ","$2,635","$127,521"
"488 ","Sell, Karue","$38,836 ","$38,051 ",$785,"$73,598"
"489 ","Weis, Alexander","$38,828 ","$33,496 ","$5,332","$160,567"
"490 ","Fancutt, Thomas","$38,807 ","$9,491 ","$29,316","$165,209"
"491 ","Kwiatkowski, Thai-Son","$38,775 ","$34,039 ","$4,736","$542,695"
"492 ","Kopp, Sandro","$38,648 ","$33,575 ","$5,073","$110,821"
"493 ","Reis Da Silva, Joao Lucas","$38,608 ","$31,663 ","$6,945","$170,360"
"494 ","Engel, Justin","$38,506 ","$37,054 ","$1,452","$42,445"
"495 ","Bortolotti, Marco","$38,422 ","$0 ","$38,422","$261,674"
"496 ","Lamasine, Tristan","$38,327 ","$31,428 ","$6,899","$620,144"
"497 ","Sanchez Jover, Carlos","$38,296 ","$32,488 ","$5,808","$131,542"
"498 ","Zeballos, Federico","$38,129 ","$1,150 ","$36,979","$243,230"
"499 ","Nam, JiSung","$38,070 ","$10,076 ","$27,994","$321,997"
"500 ","Kodat, Toby","$38,022 ","$34,381 ","$3,641","$115,740"
"501 ","Brown, Dustin","$38,003 ","$0 ","$38,003","$3,129,783"
"502 ","Edmund, Kyle","$37,903 ","$27,083 ","$10,820","$6,058,544"
"503 ","Sels, Jelle","$37,729 ","$33,610 ","$4,119","$335,057"
"504 ","Campana Lee, Gerard","$37,614 ","$37,239 ",$375,"$62,411"
"505 ","Arias, Boris","$37,519 ","$540 ","$36,979","$145,927"
"506 ","Diez, Steven","$37,227 ","$36,978 ",$249,"$1,053,869"
"507 ","Matusevich, Anton","$36,964 ","$35,020 ","$1,944","$158,573"
"508 ","Mikrut, Luka","$36,698 ","$33,491 ","$3,207","$62,870"
"509 ","Berrettini, Jacopo","$36,555 ","$36,189 ",$366,"$164,245"
"510 ","Villanueva, Gonzalo","$36,545 ","$25,755 ","$10,790","$213,010"
"511 ","Roncadelli, Franco","$36,525 ","$26,858 ","$9,667","$78,706"
"512 ","Denolly, Corentin","$36,250 ","$28,247 ","$8,003","$237,600"
"513 ","Naw, Hazem","$36,101 ","$33,626 ","$2,475","$70,263"
"514 ","Klizan, Martin","$35,505 ","$35,071 ",$434,"$5,560,072"
"515 ","Nijboer, Ryan","$35,406 ","$24,998 ","$10,408","$131,101"
"516 ","Den Ouden, Guy","$35,321 ","$35,046 ",$275,"$84,707"
"517 ","Ferreira Silva, Frederico","$34,994 ","$33,165 ","$1,829","$735,816"
"518 ","Karol, Milos","$34,947 ","$19,917 ","$15,030","$67,529"
"519 ","Oradini, Giovanni","$34,797 ","$27,677 ","$7,120","$105,393"
"520 ","Cacic, Nikola","$34,666 ","$0 ","$34,666","$1,046,150"
"521 ","Berankis, Ricardas","$34,445 ","$32,665 ","$1,780","$4,844,023"
"522 ","Ionel, Nicholas David","$34,172 ","$33,104 ","$1,068","$248,663"
"523 ","Erhard, Mathys","$34,147 ","$33,253 ",$894,"$113,866"
"524 ","Imamura, Masamichi","$33,946 ","$26,269 ","$7,677","$58,311"
"525 ","Sasikumar, Mukund","$33,881 ","$33,695 ",$186,"$240,319"
"526 ","Parker, Stuart","$33,449 ","$32,050 ","$1,399","$148,553"
"527 ","Gea, Arthur","$33,440 ","$29,681 ","$3,759","$72,927"
"528 ","Sakellaridis, Stefanos","$33,329 ","$30,371 ","$2,958","$140,300"
"Page 12 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"529 ","Merida, Daniel","$32,903 ","$32,029 ",$874,"$80,254"
"530 ","Prado Angelo, Juan Carlos","$32,860 ","$31,844 ","$1,016","$51,609"
"531 ","Gengel, Marek","$32,851 ","$28,847 ","$4,004","$206,371"
"532 ","Oberleitner, Neil","$32,833 ","$22,251 ","$10,582","$115,128"
"533 ","Bigun, Kaylan","$32,700 ","$32,700 ",$0,"$35,594"
"534 ","Negritu, Christoph","$32,496 ","$17,526 ","$14,970","$126,729"
"535 ","Sanchez, Luca","$32,227 ","$0 ","$32,227","$100,562"
"536 ","Alvarez Varona, Nicolas","$32,173 ","$30,415 ","$1,758","$143,673"
"537 ","Zheng, Michael","$32,146 ","$31,221 ",$925,"$81,357"
"538 ","Simakin, Ilia","$32,005 ","$24,059 ","$7,946","$52,742"
"539 ","Pichler, David","$31,916 ","$12,579 ","$19,337","$186,011"
"540 ","Borg, Leo","$31,884 ","$27,649 ","$4,235","$123,873"
"541 ","Ho, Ray","$31,865 ","$7,696 ","$24,169","$96,332"
"542 ","Chazal, Maxime","$31,864 ","$28,966 ","$2,898","$220,987"
"543 ","Durasovic, Viktor","$31,826 ","$25,813 ","$6,013","$291,393"
"544 ","Begemann, Andre","$31,771 ","$0 ","$31,771","$936,619"
"545 ","Zakharov, Alexey","$31,477 ","$31,002 ",$475,"$85,791"
"546 ","Uesugi, Kaito","$31,447 ","$4,443 ","$27,004","$111,377"
"547 ","Nicod, Jakub","$31,437 ","$28,004 ","$3,433","$50,546"
"548 ","Bergevi, Filip","$31,209 ","$0 ","$31,209","$124,753"
"549 ","Marti Pujolras, Alex","$31,125 ","$28,282 ","$2,843","$104,238"
"550 ","Moriya, Hiroki","$31,048 ","$28,798 ","$2,250","$1,058,380"
"551 ","Dellavedova, Matthew","$30,943 ","$30,511 ",$432,"$85,123"
"552 ","Ovcharenko, Oleksandr","$30,914 ","$25,978 ","$4,936","$80,181"
"553 ","Pereira, Tiago","$30,895 ","$17,930 ","$12,965","$54,017"
"554 ","Pannu, Kiranpal","$30,784 ","$28,331 ","$2,453","$69,686"
"555 ","Aboian, Valerio","$30,619 ","$22,239 ","$8,380","$88,537"
"556 ","Boitan, Gabi Adrian","$30,592 ","$27,316 ","$3,276","$70,883"
"557 ","Marinkov, Pavle","$29,753 ","$29,068 ",$685,"$34,583"
"558 ","Brunold, Mika","$29,700 ","$28,782 ",$918,"$64,871"
"559 ","Samrej, Kasidit","$29,651 ","$27,214 ","$2,437","$58,939"
"560 ","Houkes, Max","$29,592 ","$27,627 ","$1,965","$108,220"
"561 ","Kozlov, Stefan","$29,460 ","$28,360 ","$1,100","$1,026,233"
"562 ","Veldheer, Mick","$29,422 ","$0 ","$29,422","$113,753"
"563 ","Rodesch, Chris","$29,262 ","$26,655 ","$2,607","$49,683"
"564 ","Sharipov, Marat","$29,212 ","$25,051 ","$4,161","$69,391"
"565 ","Cukierman, Daniel","$29,168 ","$12,830 ","$16,338","$136,740"
"566 ","Coulibaly, Eliakim","$29,100 ","$28,115 ",$985,"$77,459"
"567 ","Gueymard Wayenburg, Sascha","$28,903 ","$22,328 ","$6,575","$140,578"
"568 ","Forejtek, Jonas","$28,880 ","$24,549 ","$4,331","$181,720"
"569 ","Cadenasso, Gianluca","$28,440 ","$19,990 ","$8,450","$32,158"
"570 ","Xiao, Linang","$28,172 ","$26,406 ","$1,766","$52,486"
"571 ","Delaney, Jake","$28,097 ","$18,778 ","$9,319","$74,909"
"572 ","Bourgue, Mathias","$28,000 ","$26,033 ","$1,967","$868,846"
"Page 13 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"573 ","Johnson, Steve","$27,905 ","$18,585 ","$9,320","$8,082,688"
"574 ","Ambrogi, Luciano Emanuel","$27,871 ","$24,303 ","$3,568","$55,705"
"575 ","Matsui, Toshihide","$27,744 ","$816 ","$26,928","$411,068"
"576 ","Statham, Rubin","$27,651 ","$6,803 ","$20,848","$421,623"
"577 ","Paris, Joshua","$27,598 ","$0 ","$27,598","$79,915"
"578 ","Kestelboim, Mariano","$27,504 ","$15,034 ","$12,470","$153,167"
"579 ","Jones, Hayden","$27,486 ","$26,101 ","$1,385","$31,160"
"580 ","Hach Verdugo, Hans","$27,304 ","$210 ","$27,094","$323,171"
"581 ","Liutarevich, Ivan","$27,131 ","$1,136 ","$25,995","$118,576"
"582 ","McHugh, Aidan","$26,944 ","$21,587 ","$5,357","$209,133"
"583 ","Vale, Duarte","$26,927 ","$21,121 ","$5,806","$82,478"
"584 ","Pavlovic, Luka","$26,880 ","$24,863 ","$2,017","$60,720"
"585 ","Bernet, Henry","$26,792 ","$15,103 ","$11,689","$27,312"
"586 ","Cassone, Murphy","$26,760 ","$26,580 ",$180,"$62,095"
"587 ","Araujo, Pedro","$26,677 ","$21,004 ","$5,673","$75,267"
"588 ","Vega Hernandez, David","$26,576 ","$0 ","$26,576","$647,634"
"589 ","Casanova, Hernan","$26,572 ","$21,685 ","$4,887","$288,283"
"590 ","Michalski, Daniel","$26,199 ","$25,289 ",$910,"$183,285"
"591 ","Karlovskiy, Evgeny","$26,139 ","$20,319 ","$5,820","$409,141"
"592 ","Bellier, Antoine","$25,930 ","$20,035 ","$5,895","$367,351"
"593 ","Kuhn, Nicola","$25,832 ","$23,859 ","$1,973","$464,598"
"594 ","Nesterov, Petr","$25,791 ","$18,595 ","$7,196","$58,713"
"595 ","Otte, Oscar","$25,772 ","$25,772 ",$0,"$2,470,322"
"596 ","Wenger, Damien","$25,659 ","$17,709 ","$7,950","$118,748"
"597 ","Kennedy, Jack","$25,520 ","$25,430 ",$90,"$25,520"
"598 ","Alcala Gurri, Max","$25,514 ","$22,966 ","$2,548","$73,051"
"599 ","Prihodko, Oleg","$25,467 ","$24,719 ",$748,"$136,764"
"600 ","Agwi, Michael","$25,457 ","$18,142 ","$7,315","$30,926"
"601 ","Pokorny, Lukas","$25,427 ","$18,514 ","$6,913","$71,047"
"602 ","Harris, Andrew","$25,418 ","$0 ","$25,418","$438,215"
"603T ","Hussey, Giles","$25,368 ","$23,286 ","$2,082","$81,264"
"603T ","Monday, Johannus","$25,368 ","$21,156 ","$4,212","$100,028"
"605 ","Sakamoto, Rei","$25,331 ","$20,194 ","$5,137","$32,487"
"606 ","Mott, Blake","$25,330 ","$23,250 ","$2,080","$243,024"
"607 ","Poullain, Lucas","$25,252 ","$22,892 ","$2,360","$107,035"
"608 ","Wessels, Louis","$25,218 ","$20,787 ","$4,431","$227,415"
"609 ","Bobrov, Bogdan","$25,181 ","$20,335 ","$4,846","$152,536"
"610 ","Martin, Andres","$25,177 ","$21,272 ","$3,905","$73,490"
"611 ","Zahraj, Patrick","$25,074 ","$18,142 ","$6,932","$44,920"
"612 ","Purtseladze, Saba","$25,039 ","$22,252 ","$2,787","$80,593"
"613 ","Echargui, Moez","$24,837 ","$21,509 ","$3,328","$170,397"
