# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"1 ","Nadal, Rafael","$16,349,586 ","$16,349,586 ",$0,"$119,601,561"
"2 ","Djokovic, Novak","$13,372,355 ","$13,277,228 ","$95,127","$139,144,944"
"3 ","Federer, Roger","$8,716,975 ","$8,716,975 ",$0,"$129,231,891"
"4 ","Thiem, Dominic","$8,000,223 ","$7,836,322 ","$163,901","$22,132,368"
"5 ","Medvedev, Daniil","$7,902,912 ","$7,833,320 ","$69,592","$10,507,693"
"6 ","Tsitsipas, Stefanos","$7,488,927 ","$7,272,204 ","$216,723","$10,425,605"
"7 ","Zverev, Alexander","$4,280,635 ","$4,143,723 ","$136,912","$20,028,563"
"8 ","Berrettini, Matteo","$3,439,783 ","$3,363,218 ","$76,565","$4,330,862"
"9 ","Monfils, Gael","$2,916,587 ","$2,901,347 ","$15,240","$17,930,816"
"10 ","Bautista Agut, Roberto","$2,911,522 ","$2,911,522 ",$0,"$12,067,808"
"11 ","Fognini, Fabio","$2,895,013 ","$2,796,971 ","$98,042","$14,320,288"
"12 ","Goffin, David","$2,764,933 ","$2,694,717 ","$70,216","$13,578,010"
"13 ","Schwartzman, Diego","$2,468,031 ","$2,154,554 ","$313,477","$7,532,758"
"14 ","Khachanov, Karen","$2,285,081 ","$2,097,841 ","$187,240","$7,630,617"
"15 ","Shapovalov, Denis","$2,207,015 ","$2,010,869 ","$196,146","$4,535,961"
"16 ","Nishikori, Kei","$2,173,244 ","$2,144,457 ","$28,787","$23,846,631"
"17 ","Wawrinka, Stan","$2,128,925 ","$2,089,648 ","$39,277","$33,790,279"
"18 ","Dimitrov, Grigor","$2,117,523 ","$2,092,433 ","$25,090","$18,020,217"
"19 ","de Minaur, Alex","$1,979,782 ","$1,895,709 ","$84,073","$3,466,298"
"20 ","Isner, John","$1,781,798 ","$1,709,328 ","$72,470","$18,669,906"
"21 ","Pella, Guido","$1,724,447 ","$1,471,932 ","$252,515","$4,496,830"
"22 ","Herbert, Pierre-Hugues","$1,684,171 ","$868,371 ","$815,800","$7,269,284"
"23 ","Basilashvili, Nikoloz","$1,656,857 ","$1,571,101 ","$85,756","$5,136,729"
"24 ","Pouille, Lucas","$1,634,275 ","$1,573,714 ","$60,561","$7,487,708"
"25 ","Struff, Jan-Lennard","$1,633,401 ","$1,416,549 ","$216,852","$5,278,695"
"26 ","Rublev, Andrey","$1,573,436 ","$1,408,761 ","$164,675","$4,442,257"
"27 ","Lajovic, Dusan","$1,573,032 ","$1,439,206 ","$133,826","$4,850,190"
"28 ","Paire, Benoit","$1,539,066 ","$1,413,171 ","$125,895","$7,774,890"
"29 ","Coric, Borna","$1,532,057 ","$1,519,236 ","$12,821","$7,163,918"
"30 ","Auger-Aliassime, Felix","$1,507,622 ","$1,476,501 ","$31,121","$1,893,476"
"31 ","Carreno Busta, Pablo","$1,398,997 ","$1,301,797 ","$97,200","$8,963,076"
"32 ","Chardy, Jeremy","$1,395,185 ","$971,178 ","$424,007","$9,508,219"
"33T ","Cabal, Juan Sebastian","$1,390,028 ","$0 ","$1,390,028","$4,011,362"
"33T ","Farah, Robert","$1,390,028 ","$0 ","$1,390,028","$3,709,746"
"35 ","Kyrgios, Nick","$1,384,572 ","$1,312,870 ","$71,702","$8,001,478"
"36 ","Tiafoe, Frances","$1,375,737 ","$1,366,632 ","$9,105","$3,304,117"
"37 ","Cilic, Marin","$1,359,590 ","$1,344,292 ","$15,298","$27,466,016"
"38 ","Mahut, Nicolas","$1,355,053 ","$279,008 ","$1,076,045","$11,130,381"
"39 ","Verdasco, Fernando","$1,293,590 ","$1,205,500 ","$88,090","$17,438,772"
"40 ","Raonic, Milos","$1,291,082 ","$1,277,207 ","$13,875","$18,879,855"
"41 ","Lopez, Feliciano","$1,283,705 ","$1,054,528 ","$229,177","$17,114,510"
"42 ","Fritz, Taylor","$1,275,240 ","$1,170,678 ","$104,562","$3,113,950"
"43 ","Hurkacz, Hubert","$1,228,731 ","$1,169,651 ","$59,080","$1,765,336"
"44 ","Sousa, Joao","$1,223,400 ","$951,347 ","$272,053","$6,753,655"
"Page 1 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"45 ","Djere, Laslo","$1,221,097 ","$1,186,499 ","$34,598","$1,965,163"
"46 ","Simon, Gilles","$1,195,470 ","$1,151,769 ","$43,701","$14,830,821"
"47 ","Garin, Cristian","$1,170,459 ","$1,101,786 ","$68,673","$1,526,576"
"48 ","Albot, Radu","$1,145,773 ","$996,200 ","$149,573","$3,128,654"
"49 ","Opelka, Reilly","$1,115,817 ","$1,042,624 ","$73,193","$1,612,478"
"50 ","Mannarino, Adrian","$1,113,516 ","$1,052,411 ","$61,105","$7,067,628"
"51 ","Kecmanovic, Miomir","$1,102,285 ","$1,046,628 ","$55,657","$1,285,541"
"52 ","Querrey, Sam","$1,079,494 ","$949,123 ","$130,371","$12,243,364"
"53 ","Kukushkin, Mikhail","$1,076,395 ","$991,890 ","$84,505","$5,604,304"
"54 ","Tsonga, Jo-Wilfried","$1,059,095 ","$1,054,107 ","$4,988","$22,072,615"
"55 ","Edmund, Kyle","$995,608 ","$923,876 ","$71,732","$5,313,587"
"56 ","Millman, John","$995,238 ","$958,074 ","$37,164","$3,393,855"
"57 ","Cuevas, Pablo","$966,759 ","$863,321 ","$103,438","$8,513,549"
"58 ","Fucsovics, Marton","$952,830 ","$879,451 ","$73,379","$2,706,806"
"59 ","Norrie, Cameron","$942,623 ","$868,847 ","$73,776","$1,767,549"
"60 ","Ramos-Vinolas, Albert","$940,266 ","$895,042 ","$45,224","$7,369,230"
"61 ","Cecchinato, Marco","$930,645 ","$844,166 ","$86,479","$3,174,284"
"62 ","Londero, Juan Ignacio","$928,189 ","$883,097 ","$45,092","$1,226,242"
"63 ","Krajinovic, Filip","$922,914 ","$891,166 ","$31,748","$3,062,847"
"64 ","Gasquet, Richard","$903,012 ","$894,028 ","$8,984","$18,125,457"
"65 ","Thompson, Jordan","$900,726 ","$832,033 ","$68,693","$2,228,346"
"66 ","Mayer, Leonardo","$889,317 ","$734,918 ","$154,399","$6,755,524"
"67 ","Evans, Daniel","$887,543 ","$820,080 ","$67,463","$2,301,746"
"68 ","Haase, Robin","$887,237 ","$520,976 ","$366,261","$7,351,765"
"69 ","Granollers, Marcel","$870,663 ","$371,083 ","$499,580","$10,821,168"
"70 ","Ruud, Casper","$848,872 ","$800,656 ","$48,216","$1,451,115"
"71 ","Zeballos, Horacio","$848,157 ","$1,285 ","$846,872","$5,107,218"
"72 ","Sonego, Lorenzo","$810,416 ","$779,098 ","$31,318","$1,236,079"
"73 ","Nishioka, Yoshihito","$810,305 ","$789,919 ","$20,386","$2,136,735"
"74 ","Humbert, Ugo","$807,920 ","$784,272 ","$23,648","$1,062,355"
"75 ","Seppi, Andreas","$807,276 ","$731,463 ","$75,813","$10,628,797"
"76 ","Jarry, Nicolas","$798,800 ","$654,171 ","$144,629","$2,055,087"
"77 ","Kubot, Lukasz","$795,869 ","$0 ","$795,869","$8,162,644"
"78 ","Kohlschreiber, Philipp","$782,918 ","$757,046 ","$25,872","$12,807,597"
"79 ","Sandgren, Tennys","$777,371 ","$735,549 ","$41,822","$2,121,433"
"80 ","Melo, Marcelo","$767,765 ","$0 ","$767,765","$6,934,508"
"81 ","Bedene, Aljaz","$751,531 ","$729,818 ","$21,713","$3,678,732"
