# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
"82 ","Dodig, Ivan","$739,202 ","$0 ","$739,202","$7,424,605"
"83 ","Andujar, Pablo","$724,751 ","$709,916 ","$14,835","$5,355,556"
"84 ","Bublik, Alexander","$708,983 ","$676,470 ","$32,513","$1,137,923"
"85 ","Krawietz, Kevin","$708,195 ","$34,703 ","$673,492","$992,858"
"86 ","Popyrin, Alexei","$699,963 ","$676,289 ","$23,674","$863,409"
"87 ","Dzumhur, Damir","$678,685 ","$640,500 ","$38,185","$4,102,645"
"88 ","Klaasen, Raven","$676,143 ","$0 ","$676,143","$3,357,594"
"Page 2 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"89 ","Johnson, Steve","$672,357 ","$622,680 ","$49,677","$5,993,002"
"90 ","Rojer, Jean-Julien","$666,670 ","$0 ","$666,670","$5,254,664"
"91 ","Mies, Andreas","$664,921 ","$0 ","$664,921","$765,021"
"92 ","Carballes Baena, Roberto","$664,817 ","$585,167 ","$79,650","$1,701,922"
"93 ","Kudla, Denis","$660,316 ","$625,529 ","$34,787","$2,946,048"
"94 ","Mektic, Nikola","$655,297 ","$0 ","$655,297","$1,951,268"
"95 ","Tecau, Horia","$652,306 ","$0 ","$652,306","$5,364,230"
"96 ","Delbonis, Federico","$649,712 ","$576,086 ","$73,626","$4,019,778"
"97 ","Venus, Michael","$645,807 ","$0 ","$645,807","$2,425,919"
"98 ","Sinner, Jannik","$643,358 ","$636,952 ","$6,406","$653,459"
"99 ","Munar, Jaume","$632,075 ","$581,185 ","$50,890","$1,317,261"
"100 ","Fabbiano, Thomas","$627,839 ","$611,516 ","$16,323","$2,132,156"
"101 ","Salisbury, Joe","$600,677 ","$0 ","$600,677","$926,744"
"102 ","Polasek, Filip","$592,155 ","$0 ","$592,155","$1,584,187"
"103 ","Karlovic, Ivo","$590,971 ","$590,971 ",$0,"$9,845,365"
"104 ","Berankis, Ricardas","$587,269 ","$541,314 ","$45,955","$3,115,878"
"105 ","Klizan, Martin","$584,670 ","$566,752 ","$17,918","$5,394,799"
"106 ","Pavic, Mate","$584,521 ","$0 ","$584,521","$2,811,325"
"107 ","Ram, Rajeev","$571,703 ","$0 ","$571,703","$5,151,701"
"108 ","Anderson, Kevin","$560,921 ","$560,921 ",$0,"$16,293,854"
"109 ","Copil, Marius","$559,344 ","$500,069 ","$59,275","$2,470,271"
"110 ","Berdych, Tomas","$559,329 ","$559,329 ",$0,"$29,491,328"
"111 ","Koolhof, Wesley","$552,365 ","$0 ","$552,365","$1,053,781"
"112 ","Soares, Bruno","$547,476 ","$0 ","$547,476","$5,871,301"
"113 ","Gojowczyk, Peter","$533,826 ","$520,956 ","$12,870","$2,584,973"
"114 ","Dellien, Hugo","$531,373 ","$507,211 ","$24,162","$746,929"
"115 ","del Potro, Juan Martin","$530,582 ","$511,796 ","$18,786","$25,889,586"
"116 ","Roger-Vasselin, Edouard","$529,218 ","$0 ","$529,218","$5,923,990"
"117 ","Koepfer, Dominik","$504,947 ","$494,438 ","$10,509","$650,117"
"118 ","Murray, Andy","$497,751 ","$369,319 ","$128,432","$61,544,007"
"119 ","Murray, Jamie","$487,653 ","$0 ","$487,653","$4,746,977"
"120 ","Kontinen, Henri","$482,955 ","$0 ","$482,955","$3,354,323"
"121T ","Bryan, Bob","$480,282 ","$0 ","$480,282","$15,893,275"
"121T ","Bryan, Mike","$480,282 ","$0 ","$480,282","$16,729,096"
"123 ","Harris, Lloyd","$466,887 ","$454,174 ","$12,713","$724,877"
"124 ","Zverev, Mischa","$461,150 ","$317,534 ","$143,616","$5,647,689"
"125 ","Klahn, Bradley","$457,815 ","$443,098 ","$14,717","$1,522,105"
"126 ","Moutet, Corentin","$452,296 ","$445,525 ","$6,771","$860,421"
"127 ","Barrere, Gregoire","$447,488 ","$417,236 ","$30,252","$833,992"
"128 ","Skugor, Franko","$438,214 ","$21,090 ","$417,124","$1,429,602"
"129 ","Jaziri, Malek","$433,028 ","$367,133 ","$65,895","$3,825,614"
"130 ","Marach, Oliver","$430,994 ","$0 ","$430,994","$4,344,317"
"131 ","Peers, John","$427,128 ","$0 ","$427,128","$3,896,553"
"132 ","Tipsarevic, Janko","$426,448 ","$356,442 ","$70,006","$8,616,024"
"Page 3 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"133 ","Ebden, Matthew","$425,956 ","$350,058 ","$75,898","$3,358,211"
"134 ","Vesely, Jiri","$422,654 ","$420,236 ","$2,418","$3,928,220"
"135 ","Skupski, Neal","$414,486 ","$0 ","$414,486","$910,553"
"136 ","Hoang, Antoine","$408,756 ","$384,507 ","$24,249","$567,728"
"137 ","Daniel, Taro","$408,452 ","$392,915 ","$15,537","$1,840,566"
"138 ","Laaksonen, Henri","$396,541 ","$396,541 ",$0,"$1,220,305"
"139 ","Lorenzi, Paolo","$393,315 ","$374,217 ","$19,098","$4,931,445"
"140 ","Chung, Hyeon","$391,115 ","$391,115 ",$0,"$3,666,538"
"141 ","McDonald, Mackenzie","$388,801 ","$343,893 ","$44,908","$1,210,098"
"142 ","Majchrzak, Kamil","$383,792 ","$380,872 ","$2,920","$590,671"
"143 ","Andreozzi, Guido","$380,596 ","$361,609 ","$18,987","$1,226,601"
"144 ","Caruso, Salvatore","$377,703 ","$374,237 ","$3,466","$735,211"
"145 ","Gunneswaran, Prajnesh","$376,683 ","$375,183 ","$1,500","$637,734"
"146 ","Martin, Fabrice","$376,309 ","$1,820 ","$374,489","$1,323,752"
"147 ","Tomic, Bernard","$374,885 ","$366,309 ","$8,576","$6,091,971"
"148 ","Ymer, Mikael","$372,804 ","$368,649 ","$4,155","$554,062"
"149 ","Gulbis, Ernests","$367,184 ","$362,554 ","$4,630","$7,295,474"
"150 ","Gerasimov, Egor","$345,270 ","$344,164 ","$1,106","$702,789"
"151 ","Monteiro, Thiago","$344,922 ","$333,699 ","$11,223","$1,216,834"
"152 ","Pospisil, Vasek","$335,000 ","$308,955 ","$26,045","$5,622,905"
"153 ","Stebe, Cedrik-Marcel","$322,799 ","$321,245 ","$1,554","$1,177,609"
"154 ","Darcis, Steve","$322,391 ","$318,968 ","$3,423","$3,311,462"
"155 ","Schnur, Brayden","$317,055 ","$302,792 ","$14,263","$534,984"
"156 ","Garcia-Lopez, Guillermo","$310,809 ","$286,541 ","$24,268","$8,396,350"
"157 ","Ivashka, Ilya","$306,502 ","$305,478 ","$1,024","$822,426"
"158 ","Gonzalez, Maximo","$300,716 ","$0 ","$300,716","$2,340,664"
"159 ","Kwon, Soonwoo","$299,033 ","$286,064 ","$12,969","$488,866"
"160 ","Davidovich Fokina, Alejandro","$292,268 ","$291,128 ","$1,140","$366,474"
"161 ","Donskoy, Evgeny","$291,156 ","$283,914 ","$7,242","$2,836,044"
"162 ","Kovalik, Jozef","$290,882 ","$271,992 ","$18,890","$1,040,350"
"163 ","Melzer, Jurgen","$287,675 ","$2,167 ","$285,508","$10,383,188"
"164 ","Bopanna, Rohan","$287,030 ","$0 ","$287,030","$4,316,205"
"165 ","Travaglia, Stefano","$279,140 ","$269,963 ","$9,177","$837,078"
"166 ","Giron, Marcos","$274,758 ","$263,183 ","$11,575","$475,660"
"167 ","Marterer, Maximilian","$270,245 ","$254,740 ","$15,505","$1,411,639"
"168 ","Harrison, Ryan","$261,439 ","$166,405 ","$95,034","$4,736,951"
"169 ","Paul, Tommy","$260,555 ","$255,912 ","$4,643","$692,511"
"170 ","Istomin, Denis","$257,032 ","$251,725 ","$5,307","$6,117,188"
"171 ","Uchiyama, Yasutaka","$256,193 ","$249,443 ","$6,750","$723,271"
"172 ","McLachlan, Ben","$250,379 ","$0 ","$250,379","$756,998"
"173 ","Bolt, Alex","$243,966 ","$227,511 ","$16,455","$855,839"
"174 ","Krajicek, Austin","$243,090 ","$0 ","$243,090","$1,235,043"
"175 ","Stakhovsky, Sergiy","$243,023 ","$220,401 ","$22,622","$5,353,489"
"176 ","Fratangelo, Bjorn","$236,281 ","$235,788 ",$493,"$1,242,161"
"Page 4 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"177 ","Eubanks, Christopher","$227,631 ","$220,711 ","$6,920","$487,166"
"178 ","Molleker, Rudolf","$219,526 ","$210,311 ","$9,215","$341,892"
"179 ","Kokkinakis, Thanasi","$219,385 ","$218,475 ",$910,"$1,429,096"
"180 ","Sock, Jack","$218,018 ","$132,335 ","$85,683","$10,491,799"
"181 ","Maden, Yannick","$213,395 ","$211,318 ","$2,077","$579,182"
"182 ","Rosol, Lukas","$212,270 ","$210,240 ","$2,030","$4,391,759"
"183 ","Benchetrit, Elliot","$212,205 ","$189,839 ","$22,366","$314,844"
"184 ","Li, Zhe","$211,945 ","$188,080 ","$23,865","$670,453"
"185 ","Otte, Oscar","$208,229 ","$206,240 ","$1,989","$479,742"
"186 ","Sugita, Yuichi","$207,430 ","$206,980 ",$450,"$2,416,895"
"187 ","Inglot, Dominic","$205,723 ","$0 ","$205,723","$1,781,939"
"188 ","Middelkoop, Matwe","$205,638 ","$0 ","$205,638","$1,080,975"
"189 ","Novak, Dennis","$204,589 ","$202,965 ","$1,624","$758,369"
"190 ","Clarke, Jay","$204,063 ","$196,089 ","$7,974","$433,732"
"191 ","Demoliner, Marcelo","$200,407 ","$0 ","$200,407","$872,085"
"192 ","Daniell, Marcus","$191,114 ","$0 ","$191,114","$812,362"
"193 ","Duckworth, James","$190,413 ","$178,696 ","$11,717","$1,491,790"
"194 ","Vliegen, Joran","$187,669 ","$0 ","$187,669","$273,176"
"195 ","Martinez, Pedro","$185,898 ","$174,731 ","$11,167","$376,711"
"196 ","Polansky, Peter","$185,186 ","$161,000 ","$24,186","$1,537,482"
"197 ","Baghdatis, Marcos","$183,077 ","$183,077 ",$0,"$8,918,917"
"198 ","Sharan, Divij","$182,064 ","$0 ","$182,064","$761,665"
"199 ","Jung, Jason","$180,645 ","$173,729 ","$6,916","$575,457"
"200 ","Polmans, Marc","$180,520 ","$162,457 ","$18,063","$560,652"
"201 ","Sitak, Artem","$180,132 ","$0 ","$180,132","$1,012,818"
"202 ","Troicki, Viktor","$178,215 ","$177,205 ","$1,010","$8,638,698"
"203 ","Coppejans, Kimmer","$177,490 ","$169,802 ","$7,688","$538,569"
"204 ","Ferrer, David","$177,074 ","$177,074 ",$0,"$31,483,911"
"205 ","Zhang, Ze","$176,921 ","$122,381 ","$54,540","$1,096,809"
"206 ","Halys, Quentin","$173,150 ","$133,680 ","$39,470","$906,597"
"207 ","Rubin, Noah","$170,018 ","$158,548 ","$11,470","$721,726"
"208 ","Ward, James","$169,559 ","$158,999 ","$10,560","$1,474,546"
"209 ","Bolelli, Simone","$168,678 ","$96,402 ","$72,276","$5,168,177"
"210 ","Ito, Tatsuma","$168,005 ","$167,484 ",$521,"$1,568,902"
"211 ","Krueger, Mitchell","$167,336 ","$152,583 ","$14,753","$632,355"
"212 ","Oswald, Philipp","$166,505 ","$1,285 ","$165,220","$1,065,407"
"213 ","Ramanathan, Ramkumar","$165,687 ","$145,639 ","$20,048","$681,793"
"214 ","Soeda, Go","$164,740 ","$164,020 ",$720,"$2,032,439"
"215 ","Bambridge, Luke","$162,285 ","$0 ","$162,285","$363,371"
"216 ","Trungelliti, Marco","$162,220 ","$162,220 ",$0,"$942,980"
"217 ","Basic, Mirza","$159,649 ","$151,177 ","$8,472","$1,122,339"
"218 ","Sousa, Pedro","$156,040 ","$149,895 ","$6,145","$590,374"
"219 ","Qureshi, Aisam-Ul-Haq","$155,927 ","$0 ","$155,927","$3,301,448"
"220 ","Zhang, Zhizhen","$155,348 ","$148,968 ","$6,380","$302,226"
"Page 5 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"221 ","Gonzalez, Santiago","$153,857 ","$0 ","$153,857","$2,120,213"
"222 ","Vatutin, Alexey","$153,719 ","$152,546 ","$1,173","$429,379"
"223 ","Janvier, Maxime","$150,956 ","$147,263 ","$3,693","$370,038"
"224 ","Nielsen, Frederik","$148,298 ","$1,170 ","$147,128","$1,191,893"
"225 ","Galan, Daniel Elahi","$147,504 ","$145,674 ","$1,830","$314,993"
"226 ","Arevalo, Marcelo","$147,404 ","$50,047 ","$97,357","$627,102"
"227 ","Balazs, Attila","$146,653 ","$145,025 ","$1,628","$450,046"
"228 ","Bemelmans, Ruben","$145,446 ","$133,552 ","$11,894","$2,015,452"
"229 ","King, Darian","$142,614 ","$130,264 ","$12,350","$611,774"
"230 ","Gille, Sander","$142,413 ","$520 ","$141,893","$243,116"
"231 ","Smith, John-Patrick","$141,168 ","$69,131 ","$72,037","$1,236,219"
"232 ","Rola, Blaz","$140,037 ","$136,437 ","$3,600","$860,983"
"233 ","Brown, Dustin","$137,108 ","$119,135 ","$17,973","$2,906,111"
"234 ","Lacko, Lukas","$136,525 ","$136,525 ",$0,"$3,368,228"
"235 ","Bagnis, Facundo","$136,336 ","$125,179 ","$11,157","$1,411,032"
"236 ","Hanfmann, Yannick","$135,921 ","$135,741 ",$180,"$501,973"
"237 ","Molteni, Andres","$135,818 ","$780 ","$135,038","$764,565"
"238 ","Gombos, Norbert","$135,069 ","$134,716 ",$353,"$892,668"
"239 ","Ofner, Sebastian","$134,660 ","$124,303 ","$10,357","$481,029"
"240 ","Jebavy, Roman","$134,418 ","$491 ","$133,927","$540,862"
"241 ","Ymer, Elias","$133,368 ","$126,727 ","$6,641","$952,623"
"242 ","Young, Donald","$131,811 ","$123,156 ","$8,655","$4,635,820"
"243 ","Puetz, Tim","$131,031 ","$8,251 ","$122,780","$530,216"
"244 ","Menendez-Maceiras, Adrian","$129,885 ","$124,854 ","$5,031","$1,208,288"
"245 ","Griekspoor, Tallon","$127,782 ","$125,552 ","$2,230","$311,015"
"246 ","Couacaud, Enzo","$127,530 ","$110,267 ","$17,263","$272,868"
"247 ","O'Mara, Jonny","$127,243 ","$0 ","$127,243","$258,879"
"248 ","Diez, Steven","$126,864 ","$121,254 ","$5,610","$511,616"
"249 ","Zelenay, Igor","$125,758 ","$1,423 ","$124,335","$799,289"
"250 ","Skupski, Ken","$124,360 ","$0 ","$124,360","$844,290"
"251 ","Mmoh, Michael","$122,835 ","$120,605 ","$2,230","$694,128"
"252 ","Nys, Hugo","$122,549 ","$22,969 ","$99,580","$407,560"
"253 ","Domingues, Joao","$121,879 ","$117,969 ","$3,910","$301,565"
"254 ","Bachinger, Matthias","$121,590 ","$120,053 ","$1,537","$1,589,146"
"255 ","Brooksby, Jenson","$119,855 ","$119,237 ",$618,"$181,084"
"256 ","Moraing, Mats","$119,713 ","$118,115 ","$1,598","$284,136"
"257 ","Giraldo, Santiago","$119,638 ","$118,838 ",$800,"$4,539,011"
"258 ","Mager, Gianluca","$118,485 ","$114,004 ","$4,481","$245,027"
"259 ","Arnaboldi, Andrea","$118,206 ","$115,250 ","$2,956","$840,516"
"260 ","Lindstedt, Robert","$117,142 ","$0 ","$117,142","$3,698,950"
"261 ","Kubler, Jason","$116,720 ","$116,720 ",$0,"$550,085"
"262 ","Nagal, Sumit","$114,409 ","$113,009 ","$1,400","$230,725"
"263 ","Dutra Silva, Rogerio","$114,068 ","$79,651 ","$34,417","$1,849,259"
"264 ","Watanuki, Yosuke","$114,062 ","$112,062 ","$2,000","$219,798"
"Page 6 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"265 ","Baldi, Filippo","$111,699 ","$103,450 ","$8,249","$224,705"
"266 ","Moriya, Hiroki","$110,127 ","$104,157 ","$5,970","$785,046"
"267 ","Purcell, Max","$109,956 ","$64,062 ","$45,894","$288,199"
"268 ","Lestienne, Constant","$109,550 ","$107,970 ","$1,580","$386,691"
"269 ","Escobedo, Ernesto","$108,414 ","$106,974 ","$1,440","$840,676"
"270 ","Galovic, Viktor","$106,589 ","$105,451 ","$1,138","$313,241"
"271 ","Kuhn, Nicola","$106,027 ","$105,081 ",$946,"$215,941"
"272 ","Giannessi, Alessandro","$104,192 ","$102,287 ","$1,905","$868,315"
"273 ","Milojevic, Nikola","$103,377 ","$101,379 ","$1,998","$387,165"
"274 ","Monroe, Nicholas","$103,194 ","$0 ","$103,194","$1,244,097"
"275 ","Kamke, Tobias","$102,852 ","$102,503 ",$349,"$2,385,933"
"276 ","Gomez, Emilio","$100,991 ","$97,605 ","$3,386","$308,278"
"277 ","Gaio, Federico","$99,920 ","$97,926 ","$1,994","$502,608"
"278 ","Lopez Perez, Enrique","$98,755 ","$89,347 ","$9,408","$501,753"
"279 ","Napolitano, Stefano","$96,964 ","$96,791 ",$173,"$465,765"
"280 ","Smyczek, Tim","$96,449 ","$86,414 ","$10,035","$2,067,979"
"281 ","Harris, Andrew","$95,312 ","$87,642 ","$7,670","$156,950"
"282 ","Safwat, Mohamed","$95,127 ","$91,140 ","$3,987","$546,877"
"283 ","Martin, Andrej","$93,151 ","$90,209 ","$2,942","$898,701"
"284 ","Krstin, Pedja","$91,164 ","$88,404 ","$2,760","$381,369"
"285 ","Torpegaard, Mikael","$90,394 ","$90,394 ",$0,"$131,124"
"286 ","Kolar, Zdenek","$88,623 ","$79,789 ","$8,834","$303,259"
"287 ","Saville, Luke","$88,608 ","$39,925 ","$48,683","$613,923"
"288 ","Withrow, Jackson","$88,358 ","$0 ","$88,358","$222,144"
"289 ","Molchanov, Denys","$88,342 ","$0 ","$88,342","$622,642"
"290 ","Vanni, Luca","$87,875 ","$87,605 ",$270,"$783,143"
"291 ","Santillan, Akira","$86,600 ","$79,960 ","$6,640","$357,244"
"292 ","Giustino, Lorenzo","$85,753 ","$83,577 ","$2,176","$420,509"
"293 ","Horansky, Filip","$85,603 ","$84,905 ",$698,"$240,771"
"294 ","Nedovyesov, Aleksandr","$85,247 ","$74,512 ","$10,735","$966,034"
"295 ","Paes, Leander","$84,442 ","$0 ","$84,442","$8,571,006"
"296 ","Quiroz, Roberto","$83,717 ","$76,471 ","$7,246","$305,541"
"297 ","Jubb, Paul","$83,159 ","$75,030 ","$8,129","$87,965"
"298 ","Muller, Alexandre","$83,139 ","$79,361 ","$3,778","$229,826"
"299 ","Hsieh, Cheng-Peng","$81,889 ","$3,243 ","$78,646","$222,467"
"300 ","Miedler, Lucas","$81,711 ","$72,925 ","$8,786","$233,314"
"301 ","Coria, Federico","$81,087 ","$79,349 ","$1,738","$246,355"
"302 ","Robredo, Tommy","$80,668 ","$80,011 ",$657,"$13,376,235"
"303 ","Duran, Guillermo","$80,247 ","$0 ","$80,247","$479,231"
"304 ","Ilkel, Cem","$80,140 ","$73,846 ","$6,294","$301,245"
"305 ","Nedunchezhiyan, Jeevan","$79,033 ","$0 ","$79,033","$329,000"
"306 ","Berlocq, Carlos","$77,880 ","$76,583 ","$1,297","$4,253,764"
"307 ","Reyes-Varela, Miguel Angel","$77,150 ","$0 ","$77,150","$348,304"
"308 ","Oliveira, Goncalo","$76,980 ","$45,174 ","$31,806","$295,289"
"Page 7 of 89 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 24, 2019"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2019",,,
Money,,,,,
